ZTF19acyndpl 0.05522573 218.294358 6.063602
filter ztfg
58831.567 18.521 0.113 
58850.562 17.826 0.020 
58853.541 18.046 0.017 
58856.545 18.328 0.022 
58861.499 18.633 0.084 
58872.443 19.632 0.077 
58875.500 20.013 0.088 
58878.524 20.003 0.104 
58881.504 20.281 0.097 
58884.419 19.777 0.202 
58887.460 20.593 0.308 
58911.436 20.836 0.194 
filter ztfr
58850.505 17.880 0.021 
58856.564 18.319 0.031 
58861.543 18.488 0.049 
58872.565 18.581 0.037 
58881.526 19.000 0.035 
58884.559 19.132 0.067 
58887.538 19.277 0.067 
58894.517 19.553 0.088 
58898.519 19.737 0.059 
58904.506 20.099 0.129 
58908.485 20.029 0.097 
58911.480 20.157 0.138 
58915.508 19.928 0.112 
