ZTF20aadfyjl 0.04879616 82.793745 1.719148
filter ztfg
58860.124 18.504 0.087 
58867.228 18.539 0.026 
58871.206 18.640 0.030 
58872.210 18.737 0.026 
58873.129 18.830 0.035 
58875.170 19.042 0.039 
58876.163 19.088 0.040 
58876.172 19.060 0.042 
58876.173 18.997 0.038 
58877.208 19.100 0.055 
58879.156 19.029 0.125 
58879.156 19.165 0.116 
58880.143 19.280 0.064 
58886.168 19.774 0.236 
58887.229 20.077 0.279 
58890.211 19.975 0.285 
58893.183 20.470 0.126 
58896.195 20.233 0.121 
58899.171 20.651 0.166 
58903.116 20.675 0.201 
58903.125 21.067 0.277 
58903.127 20.564 0.203 
58906.151 20.420 0.194 
filter ztfr
58853.173 18.840 0.091 
58859.326 18.391 0.074 
58859.326 18.039 0.046 
58859.327 17.962 0.039 
58860.169 18.188 0.070 
58860.216 18.145 0.058 
58860.223 18.142 0.048 
58860.223 18.166 0.047 
58861.190 18.105 0.049 
58861.199 18.103 0.034 
58861.200 18.277 0.045 
58871.248 18.065 0.026 
58872.261 18.179 0.021 
58873.169 18.138 0.021 
58873.176 18.197 0.023 
58873.177 17.992 0.015 
58873.200 18.089 0.017 
58874.212 18.307 0.039 
58875.195 18.300 0.031 
58877.255 18.683 0.060 
58880.193 18.550 0.047 
58882.165 18.599 0.061 
58882.167 18.596 0.050 
58883.175 18.806 0.192 
58886.132 18.662 0.081 
58890.166 18.814 0.092 
58896.162 19.079 0.047 
58899.144 19.172 0.052 
58903.150 19.400 0.091 
58906.174 19.611 0.131 
58913.171 19.553 0.161 
