ZTF20aaeuxqk 0.03522919 210.219517 81.846631
filter ztfg
58859.548 19.318 0.131 
58859.552 19.385 0.119 
58861.468 18.358 0.085 
58861.469 18.354 0.081 
58862.490 18.493 0.041 
58864.405 18.046 0.020 
58866.562 17.734 0.014 
58871.411 17.466 0.012 
58873.362 17.541 0.010 
58874.372 17.599 0.016 
58875.441 17.610 0.014 
58876.367 17.740 0.012 
58877.362 17.727 0.017 
58879.491 17.945 0.024 
58880.456 18.051 0.017 
58881.470 18.216 0.017 
58885.455 18.557 0.062 
58886.449 18.832 0.061 
58887.436 19.031 0.079 
58890.513 19.385 0.206 
58891.431 19.199 0.096 
58892.344 19.213 0.077 
58893.451 19.672 0.083 
58894.303 19.362 0.055 
58895.407 19.499 0.076 
58900.290 20.072 0.118 
58905.282 20.203 0.166 
58913.285 20.508 0.268 
58940.474 20.946 0.237 
filter ztfr
58859.427 19.390 0.108 
58859.428 19.288 0.100 
58861.531 18.592 0.072 
58861.535 18.381 0.063 
58862.391 18.205 0.046 
58863.558 18.016 0.020 
58864.490 17.851 0.015 
58866.532 17.568 0.016 
58867.477 17.503 0.016 
58871.528 17.375 0.015 
58873.513 17.414 0.014 
58875.509 17.448 0.014 
58876.571 17.515 0.014 
58877.352 17.525 0.023 
58878.341 17.727 0.024 
58880.350 17.945 0.026 
58881.343 17.897 0.024 
58885.495 18.062 0.037 
58886.518 18.117 0.031 
58888.449 18.053 0.050 
58890.451 18.057 0.069 
58892.304 18.271 0.041 
58893.296 18.263 0.026 
58894.513 18.401 0.032 
58895.428 18.511 0.036 
58900.429 18.885 0.049 
58913.438 19.635 0.137 
58940.525 20.905 0.264 
58944.379 20.147 0.264 
