ZTF20aaevbvv 0.05999157 105.844666 33.013897
filter ztfg
58852.474 21.600 0.261 
58852.475 21.813 0.281 
58853.455 20.846 0.141 
58853.456 21.052 0.147 
58854.486 20.319 0.214 
58855.183 19.636 0.169 
58855.184 19.448 0.171 
58856.102 19.181 0.196 
58860.113 18.599 0.124 
58861.114 18.318 0.029 
58861.119 18.300 0.025 
58862.429 18.104 0.047 
58864.161 18.048 0.012 
58864.194 18.005 0.011 
58864.195 18.041 0.010 
58867.213 17.850 0.010 
58867.213 17.884 0.010 
58872.222 17.896 0.008 
58873.338 17.939 0.009 
58874.358 18.011 0.009 
58875.175 18.038 0.011 
58876.180 18.000 0.011 
58876.195 18.080 0.011 
58876.210 18.074 0.010 
58877.227 18.090 0.011 
58878.250 18.134 0.021 
58879.171 18.193 0.023 
58879.172 18.194 0.024 
58879.235 18.223 0.022 
58880.237 18.301 0.018 
58881.162 18.336 0.022 
58881.187 18.357 0.022 
58881.214 18.434 0.025 
58884.255 18.668 0.071 
58890.255 19.120 0.102 
58890.307 19.101 0.079 
58891.171 19.234 0.029 
58892.188 19.324 0.033 
58893.204 19.347 0.031 
58894.183 19.572 0.037 
58895.158 19.564 0.039 
58895.199 19.680 0.041 
58895.200 19.633 0.039 
58898.200 19.840 0.048 
58898.235 19.873 0.042 
58898.236 19.913 0.047 
58898.270 19.831 0.045 
58899.220 19.883 0.049 
58899.224 19.821 0.052 
58899.224 19.992 0.052 
58900.280 19.956 0.064 
58903.242 20.119 0.065 
58903.243 20.291 0.075 
58903.244 20.062 0.057 
58904.151 20.341 0.075 
58904.159 20.229 0.072 
58905.164 20.248 0.133 
58906.145 20.136 0.091 
58906.262 20.474 0.126 
58906.262 20.318 0.122 
58906.263 20.551 0.134 
58909.189 20.576 0.224 
58909.190 20.371 0.201 
58909.190 20.153 0.159 
58912.165 20.633 0.207 
58912.166 20.197 0.137 
58915.172 20.515 0.254 
58915.173 20.241 0.200 
filter ztfr
58853.255 21.403 0.304 
58853.259 20.931 0.231 
58853.262 20.622 0.229 
58853.276 20.856 0.175 
58853.276 20.970 0.183 
58853.278 20.888 0.207 
58853.285 20.909 0.187 
58853.286 20.857 0.222 
58853.288 21.032 0.266 
58853.302 20.847 0.262 
58853.324 20.704 0.178 
58853.326 20.487 0.185 
58853.331 20.629 0.187 
58853.336 21.234 0.243 
58853.337 21.134 0.240 
58853.339 20.933 0.185 
58853.342 21.148 0.222 
58853.347 20.715 0.183 
58853.349 20.724 0.158 
58853.357 20.599 0.149 
58853.362 21.230 0.251 
58853.365 21.316 0.230 
58853.366 20.970 0.180 
58853.367 21.125 0.193 
58853.370 20.991 0.180 
58853.372 20.895 0.157 
58853.377 21.211 0.197 
58853.378 21.427 0.241 
58853.379 21.016 0.172 
58853.383 20.852 0.158 
58853.384 20.926 0.180 
58853.385 20.888 0.154 
58853.388 21.083 0.169 
58853.389 20.774 0.142 
58853.395 21.001 0.175 
58853.396 21.105 0.170 
58853.403 21.102 0.182 
58853.405 21.012 0.153 
58853.406 21.258 0.188 
58853.408 20.903 0.144 
58853.411 21.266 0.172 
58853.415 21.084 0.164 
58853.420 20.982 0.138 
58854.444 19.848 0.185 
58855.329 20.229 0.216 
58859.438 18.747 0.080 
58860.250 18.642 0.069 
58860.266 18.527 0.058 
58860.277 18.586 0.054 
58860.299 18.483 0.057 
58861.141 18.484 0.026 
58861.143 18.508 0.062 
58861.144 18.408 0.056 
58862.217 18.315 0.011 
58862.219 18.092 0.045 
58862.220 18.272 0.023 
58862.296 18.309 0.012 
58862.302 18.272 0.024 
58864.216 18.144 0.012 
58864.217 18.163 0.006 
58864.219 18.127 0.012 
58864.246 18.172 0.007 
58864.355 18.144 0.007 
58867.270 18.029 0.013 
58871.262 17.968 0.013 
58872.288 17.940 0.010 
58873.173 17.909 0.013 
58873.195 17.975 0.011 
58873.209 17.994 0.014 
58874.237 17.980 0.015 
58874.246 17.999 0.015 
58875.211 18.061 0.016 
58875.218 18.018 0.013 
58875.219 18.025 0.015 
58877.264 18.119 0.019 
58878.183 18.199 0.029 
58878.273 18.184 0.023 
58880.207 18.275 0.017 
58880.207 17.922 0.187 
58880.213 18.242 0.017 
58881.260 18.395 0.023 
58881.260 18.415 0.024 
58882.144 18.423 0.024 
58882.154 18.460 0.032 
58882.193 18.416 0.027 
58883.246 18.500 0.050 
58884.170 18.577 0.065 
58884.191 18.693 0.086 
58890.157 18.893 0.066 
58891.139 18.773 0.022 
58892.284 18.830 0.040 
58892.285 18.776 0.032 
58893.256 18.765 0.021 
58894.224 18.825 0.023 
58894.247 18.794 0.024 
58894.247 18.859 0.024 
58895.257 18.807 0.023 
58896.268 18.865 0.027 
58898.138 18.763 0.023 
58898.139 18.786 0.021 
58898.149 18.817 0.021 
58898.162 18.841 0.022 
58898.163 18.870 0.021 
58899.236 18.887 0.024 
58900.170 18.911 0.038 
58900.186 18.943 0.054 
58903.172 19.053 0.031 
58903.179 19.099 0.032 
58903.182 19.046 0.031 
58904.192 19.035 0.029 
58905.183 19.125 0.056 
58906.169 19.195 0.067 
58906.207 19.187 0.061 
58909.115 19.409 0.097 
58909.115 19.408 0.107 
58911.188 19.729 0.206 
58912.173 19.561 0.095 
58912.174 19.484 0.080 
58915.143 19.836 0.134 
58915.144 19.512 0.098 
58915.144 19.595 0.134 
