ZTF20aaftsqt 0.11119963 189.929879 30.201189
filter ztfg
58864.404 20.414 0.150 
58864.457 20.357 0.140 
58866.547 19.838 0.065 
58866.548 19.860 0.068 
58866.567 19.895 0.070 
58867.425 19.748 0.055 
58867.459 19.694 0.050 
58871.433 19.481 0.040 
58871.457 19.459 0.050 
58871.458 19.506 0.046 
58872.423 19.373 0.041 
58873.379 19.361 0.033 
58873.403 19.328 0.034 
58874.379 19.368 0.028 
58875.438 19.420 0.041 
58875.452 19.320 0.037 
58875.453 19.352 0.043 
58876.393 19.337 0.029 
58876.508 19.389 0.029 
58877.392 19.525 0.056 
58877.529 19.416 0.037 
58878.486 19.445 0.049 
58878.518 19.497 0.054 
58878.518 19.527 0.057 
58879.497 19.537 0.047 
58880.458 19.627 0.045 
58880.483 19.530 0.039 
58881.465 19.601 0.034 
58881.483 19.618 0.039 
58881.484 19.572 0.037 
58883.434 19.993 0.096 
58884.435 19.785 0.095 
58884.444 19.781 0.103 
58884.478 19.876 0.087 
58885.428 19.835 0.148 
58886.457 19.811 0.100 
58886.463 19.872 0.101 
58887.446 19.770 0.129 
58892.359 20.492 0.193 
58893.458 20.538 0.134 
58893.463 20.843 0.177 
58894.337 20.653 0.128 
58894.359 21.001 0.205 
58894.360 20.741 0.159 
58895.394 20.790 0.116 
58898.385 21.215 0.132 
58898.394 21.193 0.135 
58898.405 21.200 0.143 
58898.438 21.247 0.124 
58899.374 21.173 0.151 
58899.394 21.094 0.133 
58899.395 20.959 0.119 
58899.403 21.272 0.154 
58900.373 21.240 0.144 
58900.374 21.087 0.126 
58900.381 21.314 0.161 
58903.372 21.368 0.157 
58903.373 21.383 0.169 
58904.298 21.221 0.174 
58904.435 21.340 0.308 
58913.328 21.544 0.309 
filter ztfr
58864.348 20.341 0.154 
58864.500 20.254 0.101 
58866.525 20.041 0.080 
58867.470 19.950 0.070 
58871.500 19.597 0.065 
58871.506 19.541 0.056 
58873.321 19.566 0.089 
58873.509 19.479 0.041 
58875.517 19.460 0.041 
58875.518 19.458 0.044 
58875.539 19.462 0.043 
58876.332 19.527 0.049 
58876.347 19.386 0.037 
58877.500 18.425 0.186 
58877.507 19.534 0.039 
58878.337 19.490 0.094 
58878.362 19.413 0.074 
58878.374 19.599 0.088 
58879.374 19.517 0.083 
58880.517 19.703 0.061 
58880.527 19.568 0.053 
58881.295 19.703 0.084 
58881.360 19.601 0.057 
58881.537 19.609 0.047 
58883.517 19.832 0.120 
58883.535 19.673 0.097 
58884.512 19.798 0.114 
58884.513 19.748 0.101 
58884.531 19.806 0.088 
58885.509 19.676 0.081 
58885.531 19.773 0.064 
58886.522 19.941 0.097 
58886.534 19.797 0.070 
58887.487 19.769 0.100 
58887.513 19.716 0.104 
58888.435 19.772 0.191 
58891.494 19.919 0.106 
58891.494 20.097 0.114 
58891.507 19.891 0.109 
58892.308 19.688 0.156 
58892.318 19.858 0.129 
58893.315 20.187 0.098 
58893.507 20.122 0.090 
58894.471 20.172 0.080 
58894.472 20.093 0.078 
58894.487 20.212 0.098 
58895.433 20.286 0.085 
58895.478 20.104 0.094 
58898.342 20.377 0.083 
58898.362 20.525 0.086 
58898.373 20.438 0.081 
58898.465 20.411 0.078 
58899.340 20.418 0.080 
58899.352 20.554 0.107 
58899.446 20.289 0.066 
58899.471 20.444 0.100 
58900.413 20.519 0.100 
58900.435 20.223 0.136 
58900.456 20.563 0.157 
58901.386 20.567 0.107 
58901.415 20.609 0.104 
58901.416 20.348 0.084 
58901.421 20.605 0.121 
58901.445 20.610 0.149 
58901.465 20.572 0.116 
58903.380 20.582 0.103 
58903.413 20.373 0.075 
58903.414 20.594 0.085 
58903.434 20.668 0.115 
58903.445 20.554 0.091 
58903.471 20.552 0.090 
58903.486 20.659 0.102 
58904.467 20.551 0.136 
58904.483 20.646 0.140 
58904.493 20.445 0.100 
58906.472 20.448 0.129 
58906.473 20.860 0.184 
58908.473 20.694 0.136 
58911.444 21.202 0.268 
58911.466 21.166 0.225 
58912.424 21.196 0.207 
58912.449 21.068 0.172 
58913.450 21.231 0.224 
58913.473 21.368 0.297 
58914.369 21.323 0.307 
58914.392 21.308 0.275 
58914.393 21.159 0.233 
58915.395 20.879 0.239 
filter ztfi
58861.395 20.229 0.290 
58862.563 20.933 0.206 
58862.569 20.844 0.214 
58863.465 20.567 0.153 
58863.524 20.465 0.128 
58864.527 20.380 0.112 
58864.568 20.753 0.154 
58866.447 20.199 0.109 
58867.551 20.072 0.086 
58867.570 20.173 0.107 
58871.373 19.711 0.103 
58871.395 19.984 0.115 
58872.469 19.894 0.074 
58872.499 19.955 0.078 
58873.438 20.029 0.072 
58873.448 19.949 0.073 
58875.383 19.993 0.099 
58875.404 20.042 0.124 
58876.425 20.065 0.069 
58876.459 20.057 0.070 
58877.418 19.987 0.089 
58877.436 19.910 0.087 
58878.418 19.976 0.109 
58878.427 20.158 0.130 
58879.405 19.992 0.136 
58879.425 20.160 0.123 
58880.415 20.082 0.085 
58881.406 20.108 0.079 
58881.437 20.032 0.086 
58883.362 20.205 0.160 
58883.382 20.097 0.140 
58884.382 20.125 0.144 
58884.402 20.086 0.139 
58885.380 20.450 0.216 
58885.402 20.504 0.219 
58886.382 20.332 0.125 
58886.403 20.427 0.135 
58887.311 20.556 0.200 
58891.353 20.422 0.174 
58891.376 20.296 0.178 
58892.463 20.800 0.160 
58892.483 20.825 0.189 
58893.395 20.861 0.197 
58894.394 20.689 0.129 
58894.442 20.909 0.157 
