ZTF20aahggbm 0.09628037 172.000121 16.607363
filter ztfg
58871.437 19.922 0.070 
58871.441 19.941 0.070 
58873.360 19.401 0.039 
58873.401 19.325 0.034 
58874.397 19.266 0.035 
58874.398 19.172 0.026 
58876.374 18.872 0.026 
58876.383 18.842 0.022 
58877.359 18.806 0.037 
58877.377 18.739 0.028 
58877.396 18.803 0.028 
58878.382 18.727 0.030 
58878.490 18.647 0.024 
58879.465 18.653 0.030 
58879.499 18.743 0.026 
58880.439 18.655 0.020 
58880.441 18.655 0.019 
58880.463 18.593 0.019 
58881.442 18.618 0.020 
58881.478 18.648 0.020 
58883.461 18.743 0.035 
58885.296 18.679 0.072 
58885.423 18.731 0.047 
58886.439 18.804 0.051 
58886.440 18.745 0.050 
58887.250 18.751 0.089 
58888.312 19.095 0.131 
58891.421 18.932 0.089 
58891.422 18.902 0.074 
58891.439 19.122 0.087 
58892.339 19.086 0.068 
58892.375 19.241 0.065 
58893.441 19.364 0.061 
58893.462 19.375 0.057 
58894.354 19.524 0.052 
58894.355 19.495 0.050 
58894.375 19.380 0.046 
58895.416 19.661 0.057 
58898.380 19.927 0.050 
58898.381 19.931 0.045 
58898.423 19.936 0.050 
58899.379 20.005 0.059 
58899.380 20.097 0.065 
58899.421 20.024 0.062 
58900.315 20.073 0.081 
58900.330 20.185 0.074 
58900.354 19.912 0.059 
58900.356 20.295 0.083 
58903.335 20.319 0.078 
58904.287 20.294 0.092 
58904.296 20.709 0.134 
58904.311 20.747 0.118 
58905.274 20.794 0.180 
58905.295 20.891 0.190 
58905.310 20.921 0.226 
58906.310 20.708 0.155 
58906.314 20.738 0.150 
58906.315 20.737 0.151 
58908.316 20.721 0.124 
58911.359 20.863 0.212 
58911.380 20.875 0.196 
58911.401 21.116 0.217 
58912.270 21.293 0.300 
58912.271 20.803 0.229 
58912.291 20.955 0.224 
58913.294 21.084 0.272 
filter ztfr
58871.485 19.976 0.110 
58871.485 19.903 0.092 
58871.505 19.752 0.082 
58873.295 19.535 0.060 
58873.318 19.515 0.062 
58874.331 19.284 0.030 
58875.312 19.134 0.057 
58876.349 18.981 0.030 
58877.325 18.909 0.043 
58877.484 18.937 0.030 
58878.351 18.863 0.044 
58878.358 18.859 0.041 
58880.305 18.778 0.041 
58880.340 18.780 0.028 
58880.518 18.801 0.032 
58881.317 18.737 0.033 
58881.338 18.757 0.027 
58883.285 18.617 0.057 
58883.505 18.709 0.050 
58883.537 18.712 0.047 
58884.494 18.704 0.045 
58884.566 18.706 0.078 
58885.234 18.619 0.120 
58885.489 18.840 0.047 
58886.311 18.697 0.061 
58886.312 18.710 0.060 
58891.297 19.033 0.075 
58891.320 18.959 0.070 
58892.295 19.137 0.087 
58892.331 19.319 0.071 
58893.311 19.244 0.043 
58893.314 19.261 0.042 
58894.467 19.310 0.051 
58894.468 19.344 0.048 
58894.490 19.221 0.049 
58895.425 19.348 0.042 
58895.446 19.344 0.045 
58896.294 19.437 0.046 
58898.320 19.426 0.051 
58898.340 19.468 0.040 
58898.354 19.582 0.040 
58898.357 19.433 0.032 
58899.331 19.558 0.043 
58899.333 19.461 0.044 
58899.333 19.480 0.043 
58899.336 19.411 0.038 
58899.354 19.426 0.037 
58899.444 19.497 0.043 
58900.401 19.544 0.046 
58900.402 19.522 0.049 
58900.420 19.435 0.043 
58901.378 19.499 0.047 
58901.379 19.467 0.051 
58901.402 19.572 0.041 
58901.422 19.549 0.045 
58901.443 19.398 0.056 
58901.463 19.436 0.051 
58904.226 19.753 0.064 
58904.246 19.588 0.052 
58904.247 19.499 0.054 
58905.247 19.735 0.084 
58906.248 19.653 0.096 
58906.249 19.634 0.100 
58906.448 19.540 0.092 
58909.319 19.930 0.069 
58911.215 19.971 0.213 
58911.234 19.922 0.148 
58911.235 19.969 0.146 
58912.401 20.419 0.124 
58912.420 20.034 0.081 
58912.422 20.103 0.085 
58913.221 20.130 0.139 
58913.247 20.085 0.109 
58913.447 20.068 0.116 
58914.353 20.115 0.128 
58914.354 20.389 0.159 
58915.374 20.091 0.154 
58915.374 20.485 0.198 
58915.380 20.460 0.201 
filter ztfi
58871.337 20.465 0.193 
58872.486 19.920 0.060 
58873.420 19.889 0.059 
58873.441 19.744 0.041 
58875.378 19.464 0.063 
58875.398 19.442 0.052 
58876.419 19.430 0.039 
58877.399 19.384 0.053 
58877.420 19.159 0.042 
58878.399 19.372 0.053 
58878.420 19.403 0.065 
58879.377 19.323 0.053 
58879.398 19.353 0.072 
58880.378 19.362 0.033 
58881.381 19.332 0.032 
58881.399 19.474 0.029 
58883.295 19.601 0.123 
58884.314 19.282 0.074 
58885.314 19.383 0.080 
58885.357 19.418 0.071 
58886.314 19.317 0.070 
58886.358 19.305 0.037 
58893.335 20.113 0.052 
58893.356 19.954 0.060 
58904.315 19.996 0.048 
58904.335 20.023 0.063 
58905.315 20.127 0.107 
58905.336 19.957 0.108 
58906.378 19.921 0.048 
58908.357 20.050 0.051 
58908.377 19.964 0.042 
58909.337 20.349 0.126 
58909.358 20.131 0.137 
58911.293 20.180 0.117 
58911.315 20.181 0.108 
58912.315 20.213 0.063 
58912.336 20.280 0.070 
58913.358 20.456 0.091 
58914.274 20.472 0.161 
58915.272 20.279 0.228 
58915.293 20.918 0.211 
