ZTF20aahqbib 0.0555539 225.232433 8.580154
filter ztfg
58872.443 19.101 0.044 
58875.500 18.399 0.024 
58878.524 17.942 0.018 
58881.505 17.879 0.015 
58884.463 17.848 0.024 
58887.460 18.053 0.035 
58890.543 18.396 0.069 
58903.523 19.915 0.077 
58911.525 20.692 0.194 
58936.463 20.886 0.169 
filter ztfr
58872.561 18.921 0.061 
58875.556 18.418 0.042 
58878.562 18.116 0.028 
58881.543 17.905 0.014 
58883.564 17.923 0.023 
58884.559 17.918 0.024 
58887.537 17.933 0.021 
58894.524 18.326 0.031 
58898.519 18.434 0.018 
58908.485 19.078 0.043 
58911.478 19.337 0.078 
58914.506 19.539 0.056 
58936.457 20.234 0.124 
