ZTF20aaljgcp 0.07760446 213.993642 68.297667
filter ztfg
58880.491 20.519 0.098 
58881.511 20.001 0.062 
58883.416 19.356 0.083 
58883.491 19.433 0.065 
58883.493 19.490 0.068 
58884.427 19.391 0.082 
58884.428 19.260 0.080 
58884.451 19.185 0.067 
58885.432 19.110 0.091 
58885.448 19.086 0.081 
58885.454 19.149 0.076 
58886.454 18.893 0.067 
58886.469 18.875 0.044 
58886.491 18.885 0.045 
58887.435 18.846 0.060 
58887.452 18.720 0.053 
58888.301 18.979 0.123 
58888.539 18.881 0.167 
58890.508 18.620 0.087 
58890.512 18.522 0.078 
58890.525 18.810 0.096 
58891.432 18.603 0.045 
58891.466 18.612 0.040 
58891.467 18.648 0.040 
58892.343 18.620 0.044 
58892.363 18.635 0.042 
58892.367 18.619 0.040 
58893.494 18.563 0.025 
58894.342 18.663 0.026 
58895.526 18.611 0.027 
58898.452 18.871 0.018 
58899.425 18.816 0.023 
58903.362 19.356 0.035 
58904.429 19.319 0.060 
58904.454 19.365 0.047 
58904.455 19.344 0.040 
58906.298 19.544 0.071 
58906.328 19.617 0.062 
58906.330 19.660 0.075 
58908.322 19.806 0.073 
58911.371 20.117 0.146 
58911.421 19.984 0.099 
58911.550 20.008 0.131 
58912.516 20.432 0.087 
58913.515 20.319 0.094 
58914.448 20.525 0.175 
58936.301 21.592 0.231 
58955.328 21.477 0.228 
filter ztfr
58880.532 20.449 0.112 
58881.558 20.311 0.091 
58883.550 19.829 0.094 
58883.551 19.709 0.088 
58883.571 19.716 0.115 
58884.549 19.306 0.063 
58884.550 19.428 0.065 
58885.494 19.148 0.064 
58885.514 19.230 0.052 
58885.535 19.278 0.039 
58886.517 19.004 0.040 
58886.526 19.077 0.038 
58886.527 19.043 0.038 
58887.496 18.805 0.038 
58887.509 18.957 0.047 
58887.526 18.840 0.041 
58888.446 18.850 0.086 
58888.492 18.814 0.083 
58888.494 18.991 0.100 
58890.466 18.771 0.091 
58890.470 18.603 0.085 
58891.486 18.674 0.030 
58891.515 18.770 0.035 
58891.516 18.662 0.028 
58892.305 18.713 0.063 
58892.321 18.781 0.052 
58892.510 18.678 0.025 
58893.518 18.663 0.023 
58894.536 18.663 0.025 
58895.470 18.743 0.024 
58898.511 18.794 0.021 
58899.477 18.875 0.024 
58901.450 19.102 0.058 
58903.453 19.167 0.031 
58904.518 19.292 0.043 
58904.529 19.248 0.053 
58906.486 19.372 0.071 
58906.507 19.313 0.074 
58906.508 19.304 0.070 
58908.493 19.312 0.032 
58911.242 19.419 0.153 
58911.486 19.479 0.090 
58911.487 19.431 0.070 
58912.458 19.487 0.043 
58913.456 19.398 0.054 
58914.416 19.486 0.062 
58936.450 20.706 0.124 
58944.373 20.948 0.294 
58944.374 20.942 0.296 
filter ztfi
58883.321 19.636 0.123 
58883.345 20.066 0.149 
58884.326 19.603 0.097 
58884.349 19.802 0.121 
58885.330 19.495 0.093 
58885.349 19.514 0.079 
58886.328 19.284 0.057 
58887.306 19.213 0.054 
58888.323 19.231 0.073 
58890.319 19.275 0.078 
58890.389 19.147 0.061 
58891.411 19.191 0.054 
58892.475 19.293 0.040 
58904.319 20.144 0.097 
58904.392 20.117 0.108 
58905.367 20.160 0.168 
58906.426 19.933 0.071 
58906.551 19.987 0.134 
58911.258 19.972 0.192 
58911.289 20.087 0.134 
58944.326 21.120 0.247 
