ZTF20aanaibf 0.05333029 302.411352 62.558552
filter ztfg
58892.558 18.374 0.108 
58894.564 18.270 0.096 
58898.554 17.907 0.040 
58903.531 17.889 0.045 
58912.553 18.157 0.092 
58913.529 18.176 0.082 
58914.466 18.236 0.096 
58963.452 19.926 0.218 
filter ztfr
58892.531 18.294 0.140 
58894.531 18.238 0.111 
58898.528 17.953 0.072 
58899.512 17.756 0.073 
58903.514 17.687 0.067 
58912.491 17.919 0.081 
58913.492 17.944 0.125 
58914.550 18.104 0.103 
58944.513 18.997 0.173 
58955.450 19.448 0.300 
58956.494 19.386 0.278 
58962.471 19.499 0.241 
58964.430 19.542 0.242 
58967.408 19.285 0.224 
