ZTF20aankhoa 0.14072243 231.146851 53.773083
filter ztfg
58893.490 19.816 0.078 
58898.548 19.471 0.030 
58899.535 19.465 0.034 
58903.537 19.335 0.027 
58905.533 19.328 0.067 
58906.531 19.318 0.058 
58908.537 19.460 0.034 
58911.528 19.733 0.077 
58912.537 19.701 0.040 
58913.517 19.649 0.047 
58914.497 19.638 0.053 
filter ztfr
58887.545 20.987 0.302 
58893.532 20.062 0.098 
58898.516 19.666 0.055 
58899.508 19.590 0.054 
58903.510 19.536 0.049 
58904.528 19.458 0.051 
58906.511 19.518 0.078 
58908.491 19.502 0.043 
58911.513 19.452 0.076 
58912.473 19.586 0.051 
58913.498 19.639 0.095 
58914.528 19.598 0.049 
58936.447 20.684 0.127 
58941.431 20.489 0.117 
58943.469 20.928 0.216 
58970.387 21.531 0.257 
