ZTF20aaomtwl 0.02467602 108.919678 30.769424
filter ztfg
58898.235 19.209 0.025 
58898.236 19.177 0.026 
58899.220 18.575 0.016 
58899.224 18.568 0.015 
58900.280 18.050 0.012 
58903.243 16.962 0.005 
58903.244 16.969 0.004 
58904.151 16.740 0.004 
58904.159 16.763 0.003 
58904.165 16.758 0.006 
58904.165 16.783 0.006 
58905.164 16.556 0.005 
58906.143 16.427 0.005 
58906.144 16.385 0.004 
58906.145 16.401 0.004 
58906.262 16.376 0.003 
58906.263 16.377 0.004 
58909.189 16.057 0.004 
58909.190 16.060 0.004 
58912.165 15.852 0.003 
58912.166 15.866 0.003 
58915.172 15.832 0.005 
58915.173 15.828 0.005 
58917.191 15.867 0.008 
58944.194 17.667 0.026 
58944.195 17.676 0.027 
58954.163 18.324 0.018 
58956.202 18.403 0.017 
58962.195 18.497 0.020 
58963.156 18.585 0.019 
58963.163 18.568 0.018 
58963.174 18.575 0.018 
58963.183 18.567 0.022 
58964.165 18.590 0.024 
58965.195 18.664 0.024 
58970.215 18.779 0.071 
58973.201 18.743 0.071 
58976.182 18.853 0.068 
filter ztfr
58898.139 19.297 0.076 
58898.162 19.263 0.063 
58898.163 19.251 0.071 
58899.236 18.601 0.036 
58900.170 18.171 0.030 
58903.172 17.098 0.010 
58903.179 17.058 0.011 
58903.182 17.098 0.012 
58904.192 16.820 0.008 
58905.183 16.697 0.007 
58906.169 16.527 0.008 
58909.115 16.251 0.006 
58911.188 16.139 0.008 
58912.173 15.990 0.006 
58912.174 15.966 0.006 
58915.143 15.907 0.006 
58915.144 15.867 0.006 
58938.160 16.882 0.009 
58938.166 16.857 0.010 
58939.175 16.817 0.010 
58944.152 16.867 0.016 
58944.153 16.909 0.014 
58954.194 17.390 0.017 
58955.141 17.469 0.017 
58955.141 17.453 0.016 
58955.142 17.443 0.015 
58955.142 17.450 0.016 
58955.143 17.427 0.016 
58955.143 17.410 0.019 
58955.198 17.424 0.014 
58955.199 17.479 0.014 
58956.171 17.483 0.017 
58962.163 17.757 0.021 
58964.221 17.844 0.025 
58973.160 18.121 0.035 
58976.225 18.071 0.064 
