ZTF20aaowuim 0.02695177 165.297185 12.474677
filter ztfg
58898.378 19.323 0.064 
58900.335 18.251 0.033 
58903.334 17.167 0.012 
58904.295 16.999 0.013 
58905.311 16.800 0.013 
58906.311 16.685 0.011 
58908.315 16.492 0.010 
58911.380 16.381 0.009 
58912.292 16.365 0.011 
58913.276 16.334 0.011 
58914.232 16.338 0.019 
58915.234 16.367 0.017 
58939.310 18.292 0.062 
58941.248 18.424 0.059 
58962.210 19.192 0.062 
58964.201 19.104 0.062 
58965.211 19.288 0.068 
58968.210 19.321 0.075 
58977.168 19.615 0.234 
filter ztfr
58898.356 19.209 0.109 
58899.318 18.620 0.084 
58900.401 18.117 0.058 
58904.233 17.052 0.026 
58905.233 16.805 0.030 
58906.249 16.735 0.023 
58909.317 16.478 0.017 
58911.213 16.428 0.027 
58912.417 16.357 0.019 
58913.233 16.364 0.024 
58915.373 16.373 0.024 
58939.223 17.148 0.037 
58954.233 18.040 0.045 
58962.168 18.492 0.073 
58968.208 18.427 0.074 
58974.230 18.726 0.188 
filter ztfi
58904.334 17.221 0.022 
