ZTF20aascwar 0.04795315 239.603261 32.969018
filter ztfg
58936.468 18.526 0.019 
58936.481 18.583 0.021 
58943.444 19.306 0.077 
58954.396 20.039 0.087 
58955.415 20.236 0.103 
58955.416 20.087 0.082 
58956.375 20.152 0.084 
58956.375 20.209 0.116 
58962.354 20.892 0.183 
58962.370 20.544 0.135 
58962.371 20.840 0.175 
58962.372 20.367 0.093 
58963.303 20.757 0.146 
58963.303 20.542 0.114 
58963.326 20.544 0.165 
58963.337 20.520 0.142 
58963.369 20.561 0.121 
58963.370 20.518 0.098 
58963.370 20.469 0.108 
58963.381 20.484 0.096 
58963.381 20.475 0.113 
58963.426 20.792 0.165 
58963.426 20.752 0.141 
58963.427 20.618 0.127 
58963.427 20.507 0.110 
58963.459 20.800 0.153 
58963.460 20.620 0.125 
58964.360 20.708 0.123 
58964.361 20.798 0.135 
58964.361 20.386 0.104 
58964.383 20.448 0.109 
58965.403 20.450 0.102 
58965.404 20.600 0.098 
58965.404 20.497 0.110 
58965.405 20.396 0.085 
58965.418 20.750 0.144 
58965.419 20.573 0.085 
58966.400 20.597 0.110 
58966.401 20.651 0.097 
58966.402 20.567 0.091 
58966.423 20.602 0.115 
58966.433 20.644 0.108 
58966.434 20.539 0.115 
58966.435 20.580 0.119 
58967.277 20.697 0.130 
58967.278 20.788 0.190 
58967.424 20.715 0.145 
58967.425 20.796 0.156 
58967.425 20.441 0.087 
58968.441 20.651 0.102 
58968.458 20.692 0.110 
58968.458 20.936 0.163 
58968.459 20.862 0.150 
58968.460 20.679 0.116 
58970.279 20.720 0.157 
58970.279 20.672 0.179 
58970.297 20.737 0.152 
58970.298 20.682 0.175 
58970.447 20.900 0.146 
58970.448 20.448 0.088 
58971.312 20.341 0.137 
58971.421 20.663 0.124 
58971.421 20.828 0.140 
58971.422 20.653 0.117 
58972.258 20.663 0.217 
58972.286 20.232 0.153 
58972.287 20.564 0.178 
58972.449 20.596 0.120 
58972.449 20.714 0.145 
58972.450 20.842 0.146 
58973.255 20.643 0.286 
58973.444 20.836 0.270 
58973.445 20.902 0.268 
58974.218 20.164 0.218 
58974.219 20.188 0.214 
58974.448 20.650 0.259 
58974.449 20.753 0.259 
58974.461 20.388 0.199 
58975.313 20.147 0.224 
58976.219 20.231 0.308 
58980.218 21.056 0.174 
58980.219 20.721 0.124 
58981.197 20.911 0.214 
58981.198 20.677 0.182 
58981.298 20.569 0.148 
58981.428 20.590 0.178 
58983.432 20.969 0.107 
58983.446 21.048 0.095 
58984.419 20.946 0.053 
58985.308 20.996 0.168 
58985.309 20.913 0.153 
58986.219 21.033 0.183 
58986.220 20.803 0.140 
58986.384 20.960 0.157 
58986.448 20.786 0.137 
58987.199 20.994 0.182 
58987.199 20.637 0.113 
58987.411 21.241 0.198 
58987.426 21.316 0.181 
58987.427 20.780 0.109 
58991.200 20.884 0.173 
58991.201 20.825 0.160 
58991.320 21.098 0.190 
58991.334 20.818 0.113 
58991.426 21.081 0.184 
58991.427 20.856 0.137 
58992.218 20.695 0.133 
58992.218 20.788 0.126 
58992.449 20.635 0.131 
58994.220 20.855 0.154 
58994.220 20.910 0.147 
58994.267 20.721 0.100 
58994.448 20.882 0.186 
58995.198 21.043 0.178 
58995.428 20.962 0.156 
58995.428 21.003 0.150 
58996.218 21.334 0.210 
58996.218 20.844 0.134 
58996.447 20.969 0.180 
58996.447 20.901 0.143 
58997.201 20.746 0.136 
58997.427 21.190 0.205 
58997.427 21.125 0.182 
58998.222 21.146 0.220 
58998.222 21.169 0.203 
58998.351 21.174 0.172 
58998.447 21.218 0.209 
58998.447 21.109 0.158 
58999.244 21.074 0.292 
58999.268 21.175 0.304 
58999.427 20.984 0.222 
59000.401 20.914 0.199 
59001.198 20.618 0.222 
59001.390 21.052 0.236 
59004.223 20.600 0.288 
59004.385 20.395 0.250 
filter ztfr
58936.444 18.081 0.019 
58936.444 18.074 0.018 
58939.430 18.133 0.035 
58939.430 18.134 0.032 
58943.497 18.248 0.023 
58943.497 18.257 0.022 
58953.442 18.660 0.038 
58954.462 18.662 0.043 
58955.423 18.780 0.034 
58955.438 18.831 0.045 
58956.322 18.840 0.034 
58956.322 18.865 0.037 
58956.339 18.820 0.038 
58956.339 18.835 0.046 
58956.349 18.873 0.045 
58956.350 18.783 0.037 
58961.398 19.135 0.081 
58961.408 19.195 0.064 
58961.423 19.071 0.054 
58961.424 19.135 0.061 
58961.424 19.240 0.061 
58962.304 19.241 0.057 
58962.304 19.191 0.052 
58962.318 19.187 0.050 
58962.318 19.218 0.055 
58962.329 19.218 0.055 
58962.330 19.112 0.055 
58964.406 19.303 0.053 
58964.407 19.232 0.059 
58965.315 19.389 0.056 
58965.316 19.247 0.045 
58965.336 19.290 0.056 
58965.336 19.329 0.060 
58965.347 19.403 0.062 
58965.348 19.290 0.054 
58966.359 19.382 0.098 
58966.359 19.419 0.071 
58966.393 19.333 0.063 
58966.394 19.445 0.061 
58967.351 19.411 0.058 
58967.362 19.310 0.048 
58967.362 19.382 0.058 
58967.363 19.451 0.051 
58967.385 19.450 0.075 
58967.385 19.490 0.066 
58968.356 19.428 0.058 
58968.359 19.471 0.048 
58968.376 19.629 0.075 
58968.393 19.473 0.059 
58968.394 19.447 0.061 
58968.409 19.391 0.057 
58968.410 19.457 0.066 
58970.375 19.447 0.060 
58970.376 19.477 0.064 
58970.378 19.577 0.063 
58970.393 19.489 0.053 
58970.398 19.477 0.058 
58971.381 19.439 0.066 
58971.416 19.558 0.072 
58972.381 19.520 0.077 
58972.403 19.591 0.136 
58972.404 19.614 0.140 
58972.405 19.598 0.107 
58972.419 19.603 0.101 
58973.312 19.847 0.120 
58973.313 19.637 0.106 
58973.330 19.539 0.094 
58973.331 19.508 0.096 
58973.352 19.602 0.126 
58973.352 19.780 0.127 
58973.353 19.682 0.116 
58973.353 19.457 0.091 
58974.278 19.564 0.110 
58974.279 19.632 0.126 
58974.279 19.724 0.132 
58974.305 19.657 0.137 
58974.320 19.549 0.096 
58974.320 19.649 0.118 
58974.333 19.709 0.118 
58974.338 19.423 0.098 
58974.338 19.537 0.118 
58974.339 19.868 0.171 
58975.385 19.555 0.116 
58975.385 19.696 0.143 
58975.386 19.624 0.117 
58975.399 19.548 0.152 
58975.400 19.669 0.151 
58975.400 19.706 0.133 
58976.303 19.681 0.161 
58976.303 19.490 0.134 
58976.319 19.659 0.184 
58976.319 19.580 0.186 
58976.332 19.725 0.222 
58978.283 19.862 0.140 
58978.283 19.666 0.126 
58978.284 19.760 0.118 
58978.297 19.845 0.143 
58979.301 19.692 0.126 
58979.318 19.810 0.124 
58979.319 19.942 0.164 
58979.320 19.664 0.113 
58979.339 19.766 0.120 
58979.351 19.689 0.130 
58980.276 19.801 0.068 
58980.276 19.910 0.095 
58980.277 19.748 0.068 
58980.277 19.729 0.083 
58980.308 19.776 0.098 
58980.309 19.724 0.086 
58981.269 20.025 0.124 
58981.269 19.905 0.106 
58981.273 19.788 0.096 
58981.274 19.891 0.109 
58981.288 20.016 0.133 
58981.289 19.667 0.086 
58983.470 19.900 0.042 
58984.406 19.894 0.101 
58984.406 19.971 0.084 
58984.407 20.056 0.106 
58985.276 19.798 0.073 
58985.287 19.949 0.085 
58985.381 19.845 0.083 
58985.382 20.072 0.117 
58985.383 20.164 0.117 
58985.397 20.069 0.135 
58986.290 19.991 0.099 
58986.291 19.987 0.097 
58986.291 20.147 0.137 
58986.308 19.889 0.088 
58986.309 19.946 0.099 
58987.317 20.074 0.095 
58987.331 20.108 0.121 
58987.332 20.132 0.124 
58987.339 20.272 0.130 
58991.252 20.199 0.106 
58991.268 20.119 0.107 
58991.286 20.200 0.137 
58991.287 20.085 0.106 
58991.287 19.968 0.111 
58991.288 20.161 0.113 
58992.273 20.134 0.100 
58992.285 20.168 0.118 
58992.295 20.287 0.148 
58992.296 20.093 0.092 
58992.296 20.280 0.126 
58993.292 20.508 0.146 
58993.301 20.298 0.110 
58993.301 20.150 0.115 
58993.302 20.170 0.114 
58994.293 20.336 0.140 
58994.293 20.231 0.126 
58994.309 20.246 0.145 
58994.310 20.156 0.096 
58995.258 20.322 0.118 
58995.259 20.366 0.131 
58995.259 20.467 0.151 
58995.288 20.178 0.161 
58995.288 20.326 0.132 
58996.274 20.184 0.119 
58996.275 20.343 0.122 
58996.275 20.367 0.167 
58996.309 20.567 0.165 
58997.273 20.353 0.102 
58997.273 20.446 0.153 
58997.274 20.379 0.130 
58997.300 20.205 0.147 
58997.301 20.478 0.139 
58998.288 20.373 0.154 
58998.288 20.332 0.127 
58998.301 20.405 0.113 
58998.312 20.552 0.174 
58998.313 20.291 0.148 
58999.298 20.031 0.136 
58999.309 20.215 0.196 
58999.310 20.706 0.278 
58999.318 20.476 0.159 
58999.339 20.710 0.240 
59001.234 20.405 0.194 
59001.262 20.259 0.161 
59001.263 20.208 0.171 
59001.277 20.348 0.216 
59004.270 20.382 0.279 
59004.285 20.223 0.226 
filter ztfi
58953.462 18.856 0.068 
58954.344 18.823 0.041 
58961.461 19.463 0.109 
58961.461 19.453 0.099 
58962.379 19.391 0.076 
58962.380 19.451 0.096 
58962.409 19.531 0.092 
58962.418 19.497 0.107 
58962.457 19.261 0.086 
58964.307 19.527 0.115 
58964.312 19.620 0.116 
58964.325 19.429 0.086 
58964.325 19.391 0.098 
58964.481 19.341 0.093 
58965.359 19.610 0.114 
58965.376 19.449 0.084 
58965.387 19.479 0.090 
58965.391 19.581 0.097 
58965.463 19.561 0.083 
58967.294 19.697 0.195 
58967.305 19.602 0.129 
58967.314 19.804 0.127 
58967.324 19.690 0.150 
58967.463 19.777 0.099 
58968.316 19.671 0.101 
58968.316 19.596 0.096 
58968.335 19.586 0.113 
58968.335 19.813 0.105 
58968.354 19.824 0.120 
58969.253 19.491 0.144 
58969.282 19.876 0.143 
58969.282 19.625 0.139 
58970.317 19.494 0.110 
58970.318 20.051 0.187 
58970.344 19.960 0.144 
58970.344 19.650 0.119 
58971.316 19.954 0.162 
58971.316 19.750 0.123 
58971.345 19.654 0.116 
58971.345 19.794 0.142 
58972.306 19.845 0.154 
58972.314 19.592 0.121 
58972.314 19.989 0.156 
58972.335 20.021 0.166 
58972.335 19.860 0.175 
58973.388 19.806 0.139 
58973.389 20.107 0.201 
58973.408 19.714 0.139 
58973.408 19.851 0.157 
58974.377 19.978 0.205 
58974.378 20.184 0.252 
58974.420 19.688 0.142 
58974.421 20.151 0.222 
58975.316 20.004 0.191 
58975.316 19.894 0.190 
58976.377 19.908 0.225 
58976.397 20.081 0.229 
58976.398 19.869 0.209 
58976.421 19.918 0.183 
58978.350 19.985 0.161 
58979.369 20.147 0.129 
58979.377 20.028 0.144 
58979.394 20.066 0.192 
58980.337 20.023 0.134 
58980.357 19.984 0.138 
58980.358 20.080 0.156 
58981.357 20.156 0.159 
58985.332 20.553 0.177 
58985.333 20.199 0.156 
58985.336 20.254 0.138 
58986.333 20.288 0.193 
58987.273 20.319 0.170 
58987.274 20.298 0.151 
58991.352 20.414 0.161 
58991.356 20.550 0.180 
58991.357 20.484 0.196 
58992.366 20.474 0.187 
58992.373 20.792 0.310 
58995.378 20.723 0.175 
58996.371 20.474 0.156 
58996.377 20.724 0.166 
58997.329 20.519 0.179 
58997.356 20.693 0.195 
58998.379 20.538 0.162 
58999.359 20.889 0.309 
58999.360 21.050 0.300 
59001.298 20.888 0.250 
59001.312 20.592 0.213 
59001.319 20.590 0.226 
59001.320 20.660 0.273 
59004.336 20.623 0.287 
