ZTF20aauqoim 0.0705972 209.496452 -12.620353
filter ztfg
58937.386 20.654 0.131 
58944.434 18.776 0.100 
58956.359 18.287 0.029 
58963.307 18.615 0.026 
58963.355 18.750 0.027 
58972.254 19.293 0.082 
58980.221 20.028 0.071 
58986.222 20.501 0.117 
58992.317 20.616 0.145 
58995.299 20.710 0.162 
59020.195 20.961 0.168 
filter ztfr
58940.398 19.630 0.157 
58956.314 18.346 0.021 
58986.251 19.410 0.052 
58992.255 19.758 0.068 
58995.249 19.782 0.068 
58998.248 20.024 0.102 
59011.233 20.452 0.132 
59014.230 20.487 0.136 
59017.233 20.491 0.115 
59020.234 20.700 0.144 
