ZTF20aavnnkm 0.05490813 278.784211 31.688928
filter ztfg
58964.463 18.263 0.009 
58964.464 18.221 0.009 
58967.455 17.955 0.007 
58967.456 17.975 0.007 
58976.494 18.034 0.048 
58976.495 17.980 0.043 
58978.395 18.022 0.035 
58979.434 18.032 0.020 
58979.453 18.109 0.020 
58986.409 18.624 0.011 
58991.407 19.129 0.020 
58991.408 19.057 0.021 
58994.435 19.344 0.031 
58995.339 19.501 0.029 
58998.437 19.702 0.031 
59001.403 19.953 0.056 
59004.477 20.015 0.134 
59008.311 20.132 0.161 
59009.277 20.735 0.272 
59009.277 20.326 0.163 
59011.306 20.522 0.097 
59011.306 20.771 0.127 
59012.326 20.587 0.075 
59012.327 20.470 0.068 
59014.355 20.768 0.088 
59014.365 20.595 0.076 
59016.354 20.519 0.125 
59016.354 20.688 0.127 
59017.326 20.693 0.071 
59017.327 20.899 0.087 
59018.352 20.696 0.080 
59019.278 20.677 0.091 
59019.279 20.772 0.097 
59020.368 20.768 0.079 
59020.375 20.790 0.099 
59022.343 20.817 0.106 
59023.333 20.827 0.087 
59024.372 21.053 0.136 
59024.373 20.850 0.117 
59025.321 20.830 0.082 
59025.321 20.981 0.182 
59026.363 20.885 0.095 
59026.364 21.013 0.101 
59027.239 20.926 0.176 
59027.359 20.876 0.118 
59028.337 21.300 0.168 
59028.358 20.874 0.150 
59029.283 20.842 0.271 
59030.373 20.805 0.129 
59030.392 21.137 0.180 
59032.382 21.119 0.307 
59032.467 21.051 0.143 
59033.235 20.806 0.298 
59033.236 20.596 0.235 
filter ztfr
58956.500 20.332 0.138 
58956.500 20.325 0.143 
58956.509 20.437 0.102 
58956.509 20.318 0.108 
58961.439 18.803 0.032 
58961.453 18.837 0.040 
58964.426 18.379 0.011 
58964.442 18.321 0.012 
58967.412 18.063 0.011 
58967.412 18.111 0.009 
58970.410 18.014 0.009 
58970.435 17.937 0.009 
58973.338 17.983 0.020 
58973.369 17.927 0.020 
58976.354 18.176 0.056 
58976.373 17.951 0.027 
58979.353 18.124 0.021 
58983.394 18.259 0.018 
58985.411 18.464 0.016 
58985.488 18.475 0.019 
58985.489 18.434 0.024 
58991.443 18.597 0.013 
58991.444 18.683 0.013 
58995.431 18.677 0.019 
58997.431 18.793 0.015 
58998.327 18.743 0.016 
59000.343 18.715 0.043 
59000.344 18.872 0.055 
59001.439 18.825 0.022 
59004.295 18.907 0.045 
59004.331 18.875 0.038 
59008.338 19.283 0.062 
59008.338 19.261 0.064 
59009.375 19.192 0.057 
59011.333 19.201 0.043 
59012.276 19.457 0.032 
59012.276 19.337 0.028 
59013.333 19.437 0.029 
59013.333 19.454 0.030 
59013.447 19.437 0.044 
59013.448 19.392 0.037 
59014.463 19.404 0.036 
59015.331 19.694 0.037 
59015.350 19.539 0.035 
59016.259 19.568 0.099 
59016.259 19.611 0.091 
59017.280 19.792 0.046 
59017.280 19.693 0.040 
59018.263 19.425 0.055 
59019.362 19.816 0.036 
59019.371 19.681 0.038 
59020.280 20.030 0.066 
59020.291 19.748 0.043 
59022.254 19.876 0.045 
59022.255 19.877 0.051 
59023.309 19.964 0.045 
59023.388 19.746 0.043 
59024.258 19.959 0.056 
59024.259 19.784 0.047 
59025.369 19.871 0.039 
59025.369 19.900 0.044 
59027.278 19.957 0.063 
59027.382 19.939 0.049 
59028.255 20.173 0.081 
59028.255 19.941 0.061 
59031.372 20.265 0.092 
59031.372 19.903 0.077 
59032.321 19.945 0.082 
59032.331 20.059 0.098 
59033.321 20.130 0.115 
59033.331 20.250 0.127 
59034.338 20.006 0.143 
59034.339 20.163 0.146 
59034.348 20.244 0.153 
59035.330 20.357 0.197 
59035.343 20.187 0.154 
