ZTF20aaxxcms 0.07327085 271.579307 36.633316
filter ztfg
58967.456 20.530 0.082 
58976.494 18.343 0.068 
58978.395 18.176 0.046 
58978.395 18.243 0.049 
58978.396 18.349 0.049 
58979.453 18.179 0.022 
58991.407 18.562 0.015 
58994.435 18.824 0.022 
59008.311 20.228 0.164 
59009.277 20.170 0.152 
59011.306 20.615 0.116 
59012.327 20.440 0.067 
59014.355 20.676 0.095 
59016.354 20.643 0.095 
59017.327 20.707 0.091 
59019.278 20.872 0.106 
59020.368 21.023 0.113 
59022.343 20.904 0.112 
59024.372 21.102 0.154 
59025.321 21.034 0.175 
59026.364 21.184 0.148 
59028.337 21.130 0.165 
59030.373 21.393 0.235 
59032.382 20.876 0.249 
59042.341 21.324 0.203 
59045.289 21.189 0.148 
filter ztfr
58967.412 20.723 0.120 
58970.410 19.772 0.056 
58973.338 19.010 0.050 
58976.354 18.700 0.070 
58979.353 18.367 0.030 
58985.411 18.362 0.018 
58985.486 18.424 0.016 
58985.487 18.404 0.017 
58985.488 18.341 0.022 
58997.431 18.915 0.026 
59000.344 19.005 0.083 
59008.338 19.304 0.066 
59012.276 19.408 0.034 
59013.333 19.491 0.039 
59013.448 19.533 0.058 
59015.331 19.569 0.041 
59016.259 19.525 0.093 
59017.280 19.657 0.048 
59019.362 19.907 0.051 
59020.280 19.952 0.065 
59022.254 19.946 0.057 
59023.309 20.198 0.061 
59024.258 20.193 0.088 
59025.369 20.066 0.059 
59027.278 20.289 0.099 
59028.255 20.216 0.103 
59031.372 20.438 0.144 
59032.321 20.272 0.129 
59033.331 20.517 0.169 
59034.339 20.721 0.253 
59038.226 20.406 0.112 
59038.348 20.832 0.206 
59038.349 20.485 0.167 
59039.311 20.672 0.159 
59039.312 20.614 0.118 
59041.268 20.629 0.105 
59044.245 20.622 0.107 
59047.329 20.902 0.125 
59050.277 20.758 0.139 
59053.322 21.113 0.150 
