ZTF20aazpaki 0.08305281 283.370498 48.809695
filter ztfg
58986.404 19.066 0.022 
58991.411 18.686 0.016 
58994.422 18.623 0.018 
58997.411 18.743 0.016 
59004.475 19.110 0.052 
59009.287 19.723 0.094 
59011.308 19.697 0.048 
59012.321 19.845 0.042 
59014.359 19.890 0.041 
59016.353 20.249 0.068 
59017.325 20.330 0.060 
59018.365 20.499 0.067 
59019.281 20.351 0.065 
59020.372 20.557 0.081 
59022.348 20.764 0.090 
59023.351 20.893 0.099 
59024.366 20.803 0.105 
59025.329 21.170 0.127 
59026.370 21.367 0.145 
59027.361 21.203 0.167 
59030.366 20.867 0.164 
59031.327 20.617 0.163 
59032.473 21.742 0.261 
59042.345 21.672 0.270 
59059.387 21.391 0.221 
filter ztfr
58983.393 19.650 0.048 
58991.449 18.781 0.018 
58997.453 18.787 0.019 
59004.304 18.938 0.046 
59008.341 19.296 0.064 
59009.372 19.480 0.065 
59011.333 19.389 0.045 
59012.286 19.588 0.037 
59013.339 19.458 0.031 
59015.338 19.591 0.041 
59018.271 19.527 0.036 
59019.367 19.676 0.040 
59020.290 19.891 0.056 
59022.267 19.729 0.042 
59023.391 19.748 0.041 
59024.261 19.874 0.058 
59025.363 19.891 0.046 
59027.386 19.948 0.057 
59028.257 19.854 0.060 
59031.363 20.198 0.083 
59032.327 20.229 0.111 
59033.322 20.383 0.188 
59034.363 20.365 0.143 
59035.326 20.244 0.175 
59038.361 20.653 0.177 
59041.280 20.600 0.110 
59044.244 20.842 0.118 
59047.405 20.820 0.115 
59050.303 20.995 0.147 
59053.331 21.031 0.121 
59062.307 20.999 0.206 
