ZTF20abcsbux 0.0866277 220.541591 11.155869
filter ztfg
58998.338 19.419 0.027 
59001.371 18.863 0.047 
59004.188 18.591 0.062 
59009.254 18.487 0.027 
59012.194 18.461 0.012 
59016.199 18.672 0.014 
59019.256 18.843 0.020 
59022.201 19.093 0.023 
59025.228 19.303 0.036 
59028.203 19.604 0.066 
59031.188 20.256 0.220 
59034.196 20.276 0.218 
59037.231 20.519 0.260 
59043.211 21.011 0.134 
59046.210 21.120 0.183 
59049.190 21.083 0.145 
filter ztfr
58998.250 19.655 0.070 
58998.265 19.560 0.042 
58998.275 19.482 0.039 
59001.232 18.997 0.050 
59004.251 18.619 0.056 
59009.211 18.620 0.034 
59012.231 18.623 0.020 
59016.238 18.734 0.028 
59019.213 18.880 0.020 
59022.220 19.042 0.022 
59025.189 19.211 0.032 
59028.215 19.248 0.056 
59031.212 19.316 0.086 
59034.313 19.503 0.141 
59037.191 19.621 0.074 
59040.199 19.626 0.051 
59046.190 20.046 0.076 
59049.168 20.226 0.128 
59049.169 20.258 0.131 
59050.256 20.470 0.160 
59050.257 20.147 0.129 
59051.193 20.289 0.085 
59051.193 20.239 0.080 
59052.243 20.171 0.095 
59052.244 19.993 0.068 
59053.186 20.280 0.076 
59055.193 20.276 0.131 
59056.188 20.236 0.109 
59060.192 20.387 0.171 
59063.167 20.551 0.183 
59063.171 20.671 0.208 
59067.167 20.748 0.134 
59078.171 20.913 0.179 
filter ztfi
58997.332 20.221 0.129 
59009.294 19.222 0.095 
59013.253 19.356 0.058 
59018.274 19.719 0.076 
59022.273 19.915 0.095 
59033.271 20.199 0.179 
59037.274 19.959 0.125 
59044.253 19.838 0.107 
59052.191 20.200 0.143 
59061.190 20.403 0.228 
