ZTF20abdtiti 0.08916199 262.849101 15.442171
filter ztfg
58997.382 21.105 0.179 
58998.358 20.516 0.083 
58998.361 20.645 0.120 
58999.400 20.427 0.133 
59001.396 19.644 0.065 
59004.221 19.232 0.143 
59005.212 18.930 0.116 
59005.213 18.990 0.131 
59008.307 18.724 0.056 
59008.308 18.733 0.058 
59011.278 18.624 0.025 
59011.297 18.553 0.020 
59014.352 18.564 0.016 
59014.353 18.526 0.018 
59015.310 18.576 0.020 
59016.336 18.600 0.022 
59017.299 18.589 0.016 
59017.299 18.687 0.019 
59018.338 18.731 0.024 
59019.275 18.676 0.021 
59020.366 18.771 0.024 
59020.367 18.756 0.022 
59022.342 18.932 0.025 
59023.319 19.038 0.028 
59023.320 19.009 0.026 
59024.290 19.077 0.043 
59027.236 19.293 0.057 
59029.253 19.547 0.120 
59029.253 19.496 0.111 
59030.351 19.742 0.112 
59031.192 19.755 0.149 
59032.360 20.008 0.159 
59032.374 19.868 0.164 
59033.232 20.159 0.231 
59034.213 19.739 0.186 
59034.229 19.888 0.194 
59035.210 19.553 0.176 
59038.273 20.218 0.160 
59041.229 20.402 0.092 
59044.315 20.682 0.136 
59044.328 20.858 0.170 
59047.254 20.894 0.147 
59047.255 21.096 0.186 
59050.245 20.963 0.191 
59053.243 21.400 0.173 
filter ztfr
58998.332 20.700 0.127 
58999.336 20.298 0.145 
59000.329 20.086 0.191 
59000.396 20.254 0.219 
59004.288 19.159 0.116 
59009.361 18.729 0.047 
59011.258 18.605 0.029 
59011.319 18.733 0.030 
59012.273 18.641 0.030 
59014.256 18.672 0.036 
59014.257 18.664 0.029 
59016.254 18.627 0.043 
59017.277 18.621 0.026 
59017.277 18.703 0.022 
59018.257 18.626 0.030 
59018.398 18.604 0.023 
59018.398 18.633 0.020 
59018.399 18.704 0.024 
59018.399 18.676 0.022 
59018.400 18.697 0.023 
59018.400 18.707 0.022 
59018.401 18.662 0.021 
59018.401 18.687 0.022 
59018.402 18.718 0.023 
59018.402 18.759 0.023 
59018.403 18.663 0.022 
59018.403 18.719 0.021 
59018.404 18.762 0.026 
59018.404 18.707 0.022 
59018.405 18.703 0.025 
59018.405 18.675 0.020 
59018.405 18.671 0.020 
59018.406 18.721 0.025 
59018.406 18.687 0.023 
59018.407 18.667 0.025 
59018.407 18.728 0.022 
59018.408 18.688 0.024 
59018.408 18.734 0.025 
59018.409 18.671 0.024 
59018.409 18.722 0.025 
59018.410 18.715 0.024 
59018.410 18.713 0.022 
59018.411 18.673 0.024 
59018.411 18.675 0.024 
59018.412 18.733 0.026 
59018.412 18.710 0.025 
59018.412 18.656 0.023 
59018.413 18.739 0.024 
59018.413 18.728 0.023 
59018.414 18.719 0.022 
59018.414 18.722 0.022 
59018.415 18.727 0.026 
59018.415 18.724 0.025 
59018.416 18.681 0.024 
59018.416 18.738 0.028 
59018.417 18.660 0.029 
59018.417 18.717 0.023 
59018.418 18.729 0.028 
59018.418 18.691 0.025 
59018.419 18.741 0.028 
59018.419 18.703 0.026 
59018.420 18.729 0.027 
59018.420 18.714 0.026 
59018.420 18.710 0.029 
59018.421 18.659 0.025 
59018.421 18.721 0.024 
59018.422 18.710 0.025 
59018.422 18.685 0.024 
59018.423 18.705 0.028 
59018.423 18.678 0.023 
59018.424 18.704 0.024 
59018.424 18.704 0.025 
59018.425 18.744 0.028 
59018.425 18.688 0.025 
59018.426 18.744 0.029 
59018.426 18.799 0.031 
59018.427 18.693 0.023 
59018.427 18.744 0.024 
59018.427 18.710 0.025 
59018.428 18.741 0.024 
59018.428 18.685 0.022 
59018.429 18.732 0.024 
59018.429 18.688 0.023 
59018.430 18.716 0.022 
59018.430 18.737 0.026 
59018.431 18.695 0.024 
59018.431 18.758 0.025 
59018.432 18.672 0.021 
59018.432 18.658 0.024 
59018.433 18.658 0.025 
59018.433 18.685 0.025 
59018.434 18.699 0.023 
59018.434 18.764 0.024 
59018.434 18.697 0.023 
59018.435 18.677 0.023 
59018.435 18.728 0.023 
59018.436 18.725 0.024 
59018.436 18.713 0.026 
59018.437 18.716 0.025 
59018.437 18.696 0.023 
59018.438 18.698 0.022 
59018.438 18.728 0.023 
59018.439 18.738 0.025 
59018.439 18.719 0.023 
59018.440 18.737 0.026 
59018.440 18.702 0.023 
59018.441 18.733 0.022 
59018.441 18.677 0.023 
59018.442 18.726 0.026 
59018.442 18.640 0.024 
59018.442 18.678 0.023 
59018.443 18.729 0.027 
59018.443 18.716 0.027 
59018.444 18.760 0.028 
59018.444 18.681 0.026 
59018.445 18.711 0.026 
59018.445 18.683 0.024 
59018.446 18.685 0.025 
59018.446 18.742 0.027 
59018.447 18.707 0.025 
59018.447 18.690 0.024 
59018.448 18.728 0.025 
59018.448 18.721 0.025 
59018.449 18.684 0.026 
59018.449 18.699 0.030 
59018.449 18.702 0.028 
59018.450 18.728 0.025 
59018.450 18.687 0.023 
59018.451 18.658 0.026 
59018.451 18.693 0.022 
59018.452 18.743 0.027 
59018.452 18.702 0.023 
59018.453 18.693 0.028 
59018.453 18.683 0.025 
59018.454 18.679 0.027 
59018.454 18.737 0.026 
59018.455 18.703 0.023 
59018.455 18.653 0.021 
59018.456 18.686 0.023 
59018.456 18.684 0.023 
59018.456 18.793 0.027 
59018.457 18.727 0.024 
59018.457 18.745 0.023 
59018.458 18.705 0.025 
59020.268 18.740 0.026 
59020.275 18.777 0.023 
59023.296 18.905 0.027 
59023.297 18.815 0.035 
59024.243 18.938 0.043 
59025.193 18.936 0.052 
59026.290 18.958 0.045 
59026.291 18.970 0.040 
59027.273 19.028 0.062 
59028.231 19.009 0.045 
59031.249 19.195 0.085 
59032.245 19.230 0.083 
59032.245 19.412 0.082 
59033.333 19.335 0.103 
59035.331 19.736 0.174 
59038.229 19.610 0.065 
59039.308 19.336 0.069 
59041.253 19.481 0.078 
59044.250 19.687 0.081 
59047.211 19.737 0.078 
59047.319 19.835 0.071 
59050.273 20.005 0.081 
59050.291 19.905 0.072 
59053.296 20.144 0.076 
59053.311 20.017 0.076 
59056.189 20.167 0.097 
59056.189 20.031 0.098 
59063.278 20.550 0.246 
59063.281 20.100 0.204 
59067.187 20.552 0.159 
59069.211 20.745 0.131 
59069.212 20.715 0.128 
59069.213 20.665 0.183 
59069.215 20.622 0.173 
59070.193 20.728 0.135 
59070.195 20.710 0.194 
59071.193 20.414 0.154 
59072.189 20.931 0.180 
59072.190 20.567 0.159 
59073.197 20.723 0.145 
59073.198 20.699 0.146 
59073.199 20.828 0.175 
59075.231 20.885 0.197 
59078.187 21.158 0.205 
59078.188 20.651 0.157 
59079.191 20.762 0.159 
59082.169 20.877 0.191 
filter ztfi
59001.332 20.029 0.148 
59009.352 19.147 0.113 
59015.374 19.157 0.068 
59019.296 19.228 0.077 
59024.319 19.571 0.135 
59028.314 19.777 0.158 
59032.272 19.910 0.175 
59045.308 19.917 0.151 
59049.268 19.724 0.095 
59053.252 20.041 0.192 
