ZTF20abegate 0.05212002 269.96875 50.490839
filter ztfg
59009.286 20.142 0.201 
59011.309 18.995 0.037 
59012.309 18.687 0.025 
59014.348 18.301 0.018 
59016.347 17.989 0.018 
59017.324 17.930 0.011 
59018.347 17.855 0.011 
59019.286 17.790 0.012 
59020.374 17.738 0.010 
59022.347 17.681 0.011 
59023.328 17.686 0.010 
59024.289 17.691 0.011 
59025.331 17.776 0.010 
59026.368 17.804 0.012 
59027.241 17.839 0.017 
59028.342 17.869 0.013 
59029.261 17.977 0.038 
59030.366 18.020 0.021 
59031.326 17.986 0.026 
59032.392 18.143 0.028 
59033.212 18.205 0.054 
59034.217 18.375 0.056 
59035.217 18.469 0.073 
59038.267 18.699 0.045 
59041.222 18.953 0.033 
59042.344 19.041 0.044 
59042.344 19.029 0.034 
59044.324 19.291 0.044 
59045.291 19.239 0.035 
59045.291 19.348 0.043 
59047.271 19.581 0.052 
59050.372 19.636 0.073 
59053.348 19.913 0.071 
59056.277 20.110 0.110 
59059.300 20.112 0.128 
59059.301 20.293 0.139 
59061.166 20.542 0.246 
59061.167 20.384 0.170 
59066.360 20.196 0.228 
59068.221 20.877 0.221 
59074.220 21.037 0.199 
59077.235 20.566 0.160 
59080.226 20.867 0.208 
59086.288 20.913 0.222 
59091.229 20.619 0.294 
59091.255 20.705 0.271 
filter ztfr
59009.369 19.558 0.116 
59011.324 19.090 0.056 
59012.284 18.843 0.050 
59013.329 18.505 0.032 
59014.264 18.384 0.027 
59015.340 18.165 0.020 
59017.289 17.965 0.017 
59019.364 17.794 0.014 
59020.281 17.775 0.014 
59022.257 17.790 0.015 
59023.307 17.748 0.015 
59024.263 17.760 0.016 
59025.365 17.770 0.014 
59027.279 17.863 0.019 
59028.258 17.837 0.019 
59031.364 18.106 0.027 
59032.241 18.000 0.031 
59032.351 18.095 0.030 
59033.323 18.168 0.049 
59034.350 18.236 0.044 
59034.361 18.211 0.040 
59035.345 18.298 0.051 
59037.331 18.420 0.048 
59038.224 18.490 0.028 
59038.346 18.592 0.053 
59039.378 18.578 0.050 
59039.378 18.474 0.043 
59039.379 18.612 0.041 
59039.379 18.525 0.038 
59039.379 18.473 0.033 
59039.380 18.511 0.031 
59039.380 18.514 0.036 
59039.381 18.496 0.035 
59039.381 18.558 0.039 
59039.382 18.472 0.036 
59039.382 18.481 0.035 
59039.383 18.504 0.040 
59039.383 18.510 0.036 
59039.384 18.523 0.040 
59039.384 18.547 0.043 
59039.385 18.485 0.039 
59039.385 18.426 0.037 
59039.386 18.510 0.037 
59039.386 18.462 0.035 
59039.386 18.527 0.040 
59039.387 18.450 0.034 
59039.387 18.448 0.034 
59039.388 18.554 0.040 
59039.388 18.422 0.038 
59039.389 18.529 0.045 
59039.389 18.519 0.046 
59039.390 18.581 0.040 
59039.390 18.487 0.039 
59039.391 18.479 0.036 
59039.391 18.557 0.049 
59039.392 18.418 0.041 
59039.392 18.421 0.039 
59039.393 18.467 0.038 
59039.393 18.525 0.046 
59039.394 18.426 0.038 
59039.394 18.456 0.038 
59039.394 18.381 0.041 
59039.395 18.483 0.045 
59039.395 18.546 0.047 
59039.396 18.483 0.043 
59039.396 18.494 0.038 
59039.397 18.546 0.040 
59039.397 18.456 0.036 
59039.398 18.499 0.048 
59039.398 18.612 0.061 
59039.399 18.500 0.042 
59039.399 18.500 0.050 
59039.400 18.525 0.052 
59039.400 18.517 0.046 
59039.401 18.470 0.048 
59039.401 18.533 0.050 
59039.401 18.604 0.061 
59039.402 18.546 0.061 
59039.402 18.530 0.052 
59039.403 18.476 0.056 
59039.403 18.494 0.046 
59039.404 18.559 0.057 
59039.404 18.420 0.046 
59039.405 18.437 0.043 
59039.405 18.483 0.053 
59039.406 18.437 0.046 
59039.406 18.604 0.048 
59039.407 18.537 0.059 
59039.407 18.519 0.051 
59039.408 18.477 0.054 
59039.408 18.589 0.062 
59039.408 18.510 0.050 
59039.409 18.656 0.072 
59039.409 18.475 0.049 
59039.410 18.526 0.059 
59039.410 18.414 0.053 
59039.411 18.492 0.051 
59039.411 18.614 0.061 
59039.412 18.511 0.054 
59039.412 18.492 0.054 
59039.413 18.410 0.044 
59039.413 18.509 0.050 
59039.414 18.477 0.049 
59039.414 18.495 0.047 
59039.415 18.483 0.055 
59039.415 18.552 0.055 
59039.416 18.510 0.051 
59039.416 18.490 0.055 
59039.416 18.406 0.047 
59039.417 18.503 0.054 
59039.417 18.472 0.048 
59039.418 18.488 0.054 
59039.418 18.512 0.051 
59039.419 18.472 0.053 
59039.419 18.411 0.046 
59039.420 18.522 0.049 
59039.420 18.509 0.050 
59039.421 18.489 0.041 
59039.421 18.485 0.048 
59039.422 18.539 0.049 
59039.422 18.549 0.050 
59039.423 18.529 0.055 
59039.423 18.537 0.056 
59039.423 18.488 0.052 
59039.424 18.476 0.044 
59039.424 18.507 0.046 
59039.425 18.540 0.056 
59039.425 18.557 0.052 
59039.426 18.503 0.048 
59039.426 18.496 0.047 
59039.427 18.493 0.053 
59039.427 18.405 0.047 
59039.428 18.600 0.062 
59039.428 18.530 0.053 
59039.429 18.444 0.045 
59039.429 18.630 0.055 
59039.430 18.499 0.045 
59039.430 18.497 0.045 
59039.430 18.496 0.042 
59039.431 18.560 0.050 
59039.431 18.553 0.049 
59039.432 18.470 0.051 
59039.432 18.446 0.045 
59039.433 18.515 0.050 
59039.433 18.458 0.052 
59039.434 18.496 0.052 
59039.434 18.458 0.050 
59039.435 18.444 0.051 
59039.435 18.509 0.053 
59039.436 18.522 0.052 
59039.436 18.497 0.053 
59039.437 18.444 0.049 
59039.437 18.526 0.051 
59039.437 18.530 0.048 
59039.438 18.530 0.057 
59040.367 18.581 0.035 
59041.274 18.518 0.030 
59044.243 18.602 0.029 
59047.327 18.699 0.036 
59050.304 18.852 0.040 
59053.330 18.826 0.036 
59056.366 19.014 0.056 
59065.346 19.810 0.230 
59068.259 19.502 0.095 
59071.206 19.846 0.102 
59074.289 19.780 0.104 
59077.256 20.179 0.125 
59080.307 19.954 0.125 
59086.179 20.230 0.153 
