ZTF20abeolig 0.06237872 209.303267 22.281179
filter ztfg
59009.257 20.264 0.142 
59012.198 19.070 0.023 
59018.205 17.824 0.008 
59021.229 17.639 0.008 
59024.203 17.638 0.007 
59027.194 17.710 0.012 
59030.324 17.970 0.057 
59033.193 18.113 0.039 
59036.229 18.395 0.040 
59037.226 18.578 0.060 
59038.234 18.531 0.026 
59040.213 18.711 0.020 
59041.194 18.799 0.023 
59042.197 18.910 0.021 
59043.192 19.007 0.026 
59045.234 19.251 0.042 
59051.188 19.878 0.082 
59053.195 20.027 0.070 
59055.179 20.284 0.134 
59056.271 20.621 0.284 
59057.192 20.220 0.143 
59062.204 20.612 0.290 
59069.163 20.709 0.181 
59069.234 20.609 0.248 
59070.159 20.524 0.135 
59070.233 20.361 0.181 
59071.157 20.569 0.175 
filter ztfr
59012.235 19.121 0.038 
59015.215 18.427 0.022 
59019.187 17.996 0.015 
59021.239 17.880 0.014 
59027.256 17.874 0.022 
59033.174 18.273 0.035 
59035.296 18.553 0.087 
59038.214 18.626 0.028 
59039.228 18.759 0.028 
59040.203 18.753 0.028 
59041.249 18.820 0.036 
59043.236 18.883 0.033 
59044.215 18.826 0.044 
59051.196 19.012 0.045 
59055.195 19.453 0.086 
59060.195 19.490 0.103 
59062.213 19.460 0.125 
59065.158 19.800 0.203 
59069.158 19.917 0.093 
59069.159 20.040 0.121 
59069.228 19.892 0.117 
59069.229 19.907 0.152 
59070.154 19.978 0.135 
59070.228 19.780 0.130 
59071.228 19.980 0.172 
59088.154 19.880 0.244 
filter ztfi
59011.212 19.673 0.090 
59020.294 18.325 0.031 
59028.273 18.578 0.054 
59033.252 19.071 0.081 
59037.275 19.341 0.100 
59041.186 19.715 0.097 
59049.249 19.718 0.116 
59053.256 19.339 0.085 
59059.191 20.264 0.234 
59063.191 20.042 0.222 
59069.168 20.442 0.202 
59069.238 20.720 0.312 
59070.163 20.082 0.173 
