ZTF20abgbxfm 0.07263078 0.649968 23.151754
filter ztfg
59018.390 18.903 0.032 
59024.383 18.320 0.018 
59027.370 18.294 0.021 
59030.384 18.355 0.020 
59032.482 18.397 0.022 
59034.465 18.454 0.033 
59036.468 18.657 0.040 
59037.350 18.704 0.060 
59038.463 18.755 0.048 
59038.487 18.856 0.069 
59039.369 18.880 0.079 
59040.475 18.851 0.041 
59040.485 18.949 0.049 
59042.361 18.959 0.054 
59043.362 19.269 0.058 
59046.465 19.496 0.033 
59047.466 19.625 0.032 
59048.457 19.646 0.035 
59048.485 19.633 0.047 
59049.455 19.768 0.042 
59049.457 19.676 0.035 
59050.436 19.902 0.047 
59051.453 19.963 0.050 
59052.450 20.030 0.039 
59052.451 19.987 0.047 
59052.486 19.981 0.058 
59053.408 20.152 0.061 
59053.437 20.121 0.051 
59054.455 20.280 0.061 
59054.496 20.078 0.128 
59055.421 20.339 0.073 
59055.422 20.318 0.078 
59056.427 20.391 0.064 
59057.403 20.498 0.089 
59059.420 20.509 0.072 
59059.421 20.679 0.079 
59060.464 20.632 0.075 
59061.464 20.661 0.085 
59063.437 20.677 0.271 
59069.381 20.701 0.194 
59071.418 21.032 0.168 
59071.457 20.948 0.169 
59072.360 20.944 0.189 
59073.330 20.884 0.169 
59075.359 21.321 0.188 
59075.370 21.389 0.175 
59077.376 21.220 0.153 
59077.377 21.164 0.138 
59077.396 21.417 0.190 
59078.406 21.138 0.173 
59079.345 21.253 0.160 
59079.353 21.262 0.154 
59081.354 20.923 0.155 
59081.466 21.293 0.190 
59084.442 21.298 0.160 
59085.358 21.706 0.197 
59085.359 21.597 0.183 
59086.467 21.321 0.182 
59087.339 21.366 0.207 
59087.340 21.240 0.172 
59087.479 21.314 0.192 
59088.328 21.603 0.284 
59089.376 21.341 0.180 
59090.420 21.605 0.228 
59091.307 20.800 0.253 
59091.448 21.533 0.205 
59093.419 20.451 0.285 
filter ztfr
59018.470 18.955 0.023 
59024.473 18.382 0.015 
59030.469 18.395 0.018 
59034.383 18.557 0.042 
59036.385 18.686 0.042 
59037.460 18.768 0.037 
59038.380 18.739 0.048 
59039.454 18.853 0.044 
59040.386 18.897 0.035 
59042.465 18.954 0.032 
59044.473 19.045 0.030 
59046.420 19.111 0.027 
59048.428 19.128 0.023 
59049.422 19.187 0.024 
59049.423 19.121 0.024 
59050.441 19.202 0.024 
59050.480 19.174 0.026 
59051.427 19.203 0.025 
59052.420 19.212 0.023 
59052.421 19.257 0.023 
59053.458 19.226 0.023 
59054.390 19.296 0.029 
59054.406 19.312 0.027 
59055.442 19.298 0.026 
59055.449 19.234 0.026 
59056.463 19.305 0.025 
59056.496 19.239 0.039 
59057.451 19.374 0.025 
59059.442 19.470 0.033 
59059.443 19.538 0.032 
59060.421 19.499 0.029 
59060.432 19.495 0.026 
59061.350 19.522 0.049 
59061.439 19.551 0.034 
59062.461 19.614 0.043 
59062.462 19.561 0.038 
59063.351 19.617 0.104 
59063.393 19.616 0.080 
59064.351 19.733 0.134 
59064.421 19.579 0.094 
59065.387 19.766 0.146 
59065.458 20.097 0.169 
59065.459 19.812 0.121 
59067.436 19.874 0.084 
59068.383 19.963 0.087 
59068.384 20.057 0.097 
59069.420 19.969 0.080 
59071.357 20.056 0.075 
59071.359 20.003 0.074 
59071.387 20.280 0.095 
59072.463 20.209 0.072 
59072.492 20.255 0.110 
59073.485 20.060 0.065 
59075.317 20.151 0.069 
59077.456 20.290 0.066 
59077.457 20.335 0.071 
59077.471 20.279 0.072 
59078.349 20.424 0.085 
59079.401 20.223 0.063 
59079.420 20.376 0.080 
59080.343 20.228 0.076 
59080.357 20.461 0.086 
59080.369 20.350 0.074 
59081.400 20.433 0.091 
59081.419 20.453 0.082 
59082.466 20.701 0.153 
59084.295 20.313 0.125 
59084.305 20.491 0.106 
59085.331 20.540 0.083 
59086.338 20.443 0.080 
59086.377 20.653 0.091 
59087.359 20.745 0.109 
59087.376 20.399 0.077 
59087.376 20.778 0.103 
59088.396 20.591 0.100 
59088.399 20.452 0.083 
59089.436 20.703 0.113 
59089.458 20.615 0.133 
59090.441 20.969 0.131 
59091.464 20.609 0.097 
59093.375 20.491 0.246 
