ZTF20abhzgly 0.07652977 340.660936 33.713898
filter ztfg
59025.352 19.812 0.050 
59028.387 19.039 0.029 
59028.458 19.033 0.032 
59031.349 18.558 0.036 
59034.464 18.318 0.023 
59035.486 18.448 0.052 
59037.354 18.369 0.042 
59040.463 18.380 0.021 
59043.370 18.519 0.019 
59046.373 18.872 0.021 
59049.445 19.063 0.021 
59052.443 19.259 0.027 
59052.493 19.193 0.056 
59053.381 19.412 0.024 
59053.382 19.288 0.023 
59054.493 19.247 0.059 
59055.402 19.470 0.030 
59055.403 19.553 0.038 
59059.437 19.959 0.051 
59060.349 19.883 0.080 
59060.354 19.759 0.059 
59062.434 19.962 0.106 
59066.365 20.242 0.166 
59066.366 20.187 0.177 
59067.389 20.324 0.180 
59068.456 20.319 0.156 
59068.457 20.617 0.171 
59068.479 20.419 0.149 
59070.339 20.893 0.170 
59070.339 20.467 0.124 
59071.401 20.913 0.166 
59071.402 20.698 0.163 
59071.432 20.615 0.135 
59071.432 20.697 0.117 
59072.395 20.838 0.165 
59073.360 20.762 0.120 
59075.391 20.990 0.141 
59077.381 21.098 0.130 
59078.387 21.472 0.200 
59080.379 20.679 0.101 
59080.402 20.994 0.152 
59080.403 21.241 0.172 
59081.303 20.888 0.124 
59087.346 21.276 0.191 
59088.329 21.201 0.204 
59089.288 20.872 0.227 
59090.287 20.924 0.274 
59090.412 21.738 0.249 
59091.270 21.129 0.290 
59099.370 20.542 0.185 
filter ztfr
59025.394 19.933 0.078 
59028.476 19.191 0.029 
59031.441 18.889 0.022 
59031.442 18.850 0.025 
59034.380 18.544 0.035 
59037.455 18.518 0.048 
59040.384 18.491 0.021 
59043.384 18.578 0.016 
59044.480 18.623 0.018 
59049.407 18.921 0.020 
59051.389 19.082 0.029 
59052.375 19.039 0.021 
59052.407 19.019 0.020 
59054.332 19.195 0.031 
59054.374 19.139 0.026 
59055.368 19.173 0.025 
59055.457 19.250 0.026 
59056.493 19.193 0.037 
59057.375 19.196 0.026 
59059.353 19.290 0.029 
59059.353 19.263 0.032 
59059.450 19.254 0.028 
59061.306 19.180 0.039 
59062.469 19.270 0.033 
59063.306 19.183 0.073 
59063.330 19.427 0.098 
59064.347 19.317 0.089 
59065.392 19.514 0.142 
59065.395 19.311 0.112 
59065.429 19.400 0.105 
59065.430 19.279 0.108 
59068.359 19.365 0.050 
59068.383 19.509 0.059 
59068.401 19.598 0.071 
59069.438 19.613 0.058 
59069.446 19.654 0.064 
59071.340 19.531 0.045 
59071.341 19.660 0.055 
59071.361 19.611 0.049 
59071.361 19.786 0.064 
59076.342 19.899 0.083 
59078.304 19.949 0.056 
59078.305 20.043 0.073 
59079.366 20.114 0.060 
59080.319 20.168 0.072 
59080.320 19.979 0.069 
59080.334 20.133 0.084 
59081.394 20.183 0.073 
59081.395 20.184 0.090 
59084.303 20.227 0.073 
59086.348 20.404 0.076 
59087.285 20.270 0.097 
59087.369 20.070 0.063 
59090.452 20.527 0.088 
59097.287 20.529 0.200 
59098.350 20.365 0.152 
59099.218 20.955 0.198 
59099.317 20.807 0.185 
59106.344 20.589 0.132 
59106.344 20.526 0.135 
59107.253 20.941 0.170 
59109.242 21.007 0.166 
59111.268 20.953 0.151 
59111.269 20.931 0.166 
59112.193 21.248 0.169 
59112.202 20.923 0.137 
59113.263 21.259 0.171 
59114.298 21.285 0.174 
