ZTF20abmapla 0.06156439 320.875721 -7.678921
filter ztfg
59046.356 19.873 0.053 
59050.376 18.901 0.024 
59053.356 18.382 0.010 
59067.334 18.304 0.036 
59072.336 18.706 0.024 
59076.293 19.014 0.029 
59079.315 19.246 0.035 
59082.295 19.588 0.067 
filter ztfr
59046.398 19.940 0.053 
59050.456 18.891 0.027 
59053.441 18.489 0.014 
59056.378 18.231 0.013 
59056.470 18.250 0.016 
59056.470 18.260 0.016 
59056.471 18.243 0.016 
59056.471 18.267 0.016 
59061.398 18.123 0.018 
59061.399 18.104 0.019 
59067.419 18.311 0.044 
59079.309 18.800 0.025 
59082.270 18.855 0.032 
59099.296 19.463 0.077 
59111.250 20.039 0.087 
59114.276 20.202 0.097 
