ZTF20abmarcv 0.1 311.320942 7.113461
filter ztfg
59043.336 20.283 0.112 
59046.358 19.561 0.051 
59055.380 19.051 0.028 
59060.328 19.090 0.049 
59060.342 19.074 0.061 
59063.423 19.161 0.136 
59066.395 19.545 0.165 
59067.327 19.338 0.108 
59070.315 19.726 0.098 
59076.297 20.381 0.134 
59079.321 20.717 0.146 
59081.346 20.759 0.209 
59081.346 21.245 0.275 
59082.274 20.816 0.227 
59085.255 21.121 0.228 
filter ztfr
59043.378 20.490 0.130 
59046.378 19.760 0.055 
59046.437 19.921 0.081 
59048.345 19.470 0.044 
59048.350 19.428 0.035 
59049.357 19.306 0.039 
59052.358 19.142 0.026 
59055.335 19.036 0.027 
59055.373 19.078 0.032 
59059.326 19.024 0.048 
59059.349 18.983 0.034 
59061.346 19.090 0.068 
59061.358 18.991 0.040 
59063.312 18.981 0.078 
59063.337 18.949 0.073 
59070.296 19.443 0.053 
59073.296 19.613 0.047 
59078.316 19.785 0.072 
59078.316 19.836 0.082 
59078.329 19.698 0.059 
59079.295 19.773 0.057 
59085.319 20.061 0.077 
59087.266 19.971 0.109 
59087.267 20.042 0.119 
59087.280 19.884 0.094 
59088.369 19.978 0.123 
59096.318 20.607 0.271 
59096.319 20.467 0.252 
59099.341 20.508 0.218 
59099.342 20.800 0.265 
59111.245 20.809 0.147 
59114.281 21.069 0.190 
filter ztfi
59087.245 20.731 0.311 
