ZTF20abmoans 0.03108456 218.057381 28.601138
filter ztfg
59046.212 20.055 0.090 
59048.260 19.191 0.053 
59048.269 19.103 0.052 
59049.191 18.821 0.031 
59049.205 18.773 0.028 
59050.187 18.460 0.026 
59051.176 18.231 0.026 
59051.177 18.187 0.026 
59052.290 17.791 0.020 
59052.291 17.814 0.021 
59053.208 17.677 0.014 
59053.209 17.679 0.014 
59054.268 17.562 0.017 
59056.245 17.299 0.016 
59059.279 17.207 0.025 
59060.227 17.161 0.019 
59062.206 17.230 0.021 
59063.248 17.322 0.032 
59065.193 17.461 0.029 
59066.208 17.570 0.031 
59067.202 17.695 0.023 
59068.185 17.768 0.015 
59070.224 17.989 0.023 
59072.223 18.253 0.029 
59073.218 18.390 0.034 
59074.207 18.620 0.036 
59076.178 18.933 0.050 
59077.223 18.822 0.060 
59078.198 19.022 0.058 
59080.195 19.221 0.102 
59081.223 19.251 0.152 
filter ztfr
59047.217 19.324 0.094 
59048.187 19.301 0.092 
59049.172 18.890 0.069 
59049.183 18.633 0.051 
59050.261 18.448 0.059 
59050.262 18.253 0.044 
59051.207 18.115 0.034 
59051.208 18.110 0.033 
59052.247 17.812 0.027 
59052.247 17.814 0.025 
59059.177 17.146 0.027 
59060.194 17.096 0.024 
59062.212 17.064 0.025 
59063.172 17.119 0.036 
59065.170 17.198 0.027 
59066.245 17.301 0.038 
59067.180 17.418 0.018 
59068.265 17.493 0.044 
59069.193 17.555 0.032 
59070.187 17.469 0.021 
59072.187 17.593 0.032 
59073.172 17.676 0.028 
59074.178 17.648 0.028 
59075.225 17.887 0.053 
59076.197 17.733 0.032 
59077.162 17.912 0.059 
59078.172 17.849 0.034 
59079.203 17.725 0.049 
59080.174 17.957 0.051 
59081.184 18.135 0.059 
59082.188 18.060 0.061 
59110.123 19.365 0.171 
59110.128 19.079 0.127 
59110.132 19.278 0.178 
59110.137 19.535 0.213 
59112.124 19.980 0.224 
59114.121 19.537 0.236 
59114.125 19.753 0.279 
59114.130 19.758 0.303 
59116.121 19.404 0.224 
59118.113 19.452 0.275 
59118.123 19.602 0.239 
59118.127 19.475 0.279 
59120.112 19.439 0.244 
59120.126 19.559 0.277 
filter ztfi
59052.194 18.256 0.059 
59056.295 17.620 0.059 
59060.234 17.828 0.059 
59064.234 17.834 0.089 
59070.260 18.006 0.075 
59079.240 17.981 0.095 
59084.226 18.166 0.126 
59092.160 18.775 0.137 
59114.138 18.985 0.267 
