ZTF20abnrdse 0.06811575 240.007585 37.824881
filter ztfg
59051.185 20.815 0.109 
59051.299 20.727 0.122 
59052.278 20.578 0.083 
59052.285 20.469 0.084 
59052.319 20.523 0.093 
59053.247 20.489 0.073 
59053.361 20.510 0.107 
59054.247 20.432 0.075 
59054.288 20.498 0.105 
59055.300 20.340 0.088 
59055.384 20.431 0.172 
59056.284 20.135 0.085 
59057.381 19.952 0.119 
59059.286 19.490 0.062 
59059.386 19.329 0.085 
59060.215 19.285 0.052 
59060.357 19.030 0.078 
59061.172 19.125 0.045 
59062.186 18.981 0.043 
59062.198 18.979 0.052 
59062.364 18.832 0.108 
59063.240 18.843 0.052 
59063.265 18.919 0.058 
59064.202 18.768 0.070 
59065.205 18.583 0.047 
59065.221 18.724 0.055 
59065.265 18.674 0.062 
59066.187 18.643 0.026 
59066.188 18.652 0.030 
59066.359 18.564 0.103 
59067.205 18.637 0.023 
59067.215 18.682 0.027 
59067.336 18.746 0.076 
59068.183 18.632 0.015 
59068.196 18.673 0.017 
59069.186 18.632 0.016 
59069.344 18.572 0.058 
59070.245 18.682 0.019 
59070.246 18.662 0.020 
59070.335 18.613 0.045 
59071.217 18.735 0.018 
59072.243 18.748 0.022 
59072.244 18.754 0.022 
59072.343 18.791 0.080 
59073.226 18.849 0.024 
59073.238 18.810 0.022 
59073.318 18.879 0.045 
59074.199 18.961 0.025 
59074.199 18.872 0.022 
59075.198 18.968 0.027 
59076.183 19.052 0.026 
59077.225 19.060 0.039 
59077.233 19.149 0.032 
59078.206 19.218 0.032 
59078.221 19.170 0.031 
59079.167 19.275 0.030 
59079.176 19.213 0.031 
59081.216 19.539 0.061 
59081.296 19.443 0.087 
59084.179 19.810 0.079 
59085.260 19.897 0.069 
59086.200 19.883 0.081 
59086.286 20.008 0.132 
59087.174 20.060 0.125 
59088.255 20.030 0.225 
59090.238 20.016 0.159 
59091.214 20.483 0.230 
59093.155 20.411 0.230 
59098.194 20.495 0.167 
59099.153 21.036 0.155 
filter ztfr
59051.351 20.595 0.167 
59052.169 20.527 0.118 
59052.173 20.634 0.106 
59052.257 20.621 0.099 
59052.260 20.623 0.115 
59052.366 20.598 0.169 
59053.309 20.198 0.090 
59054.206 20.208 0.082 
59054.350 20.144 0.114 
59055.246 19.947 0.064 
59055.326 19.771 0.073 
59056.196 19.692 0.062 
59057.179 19.336 0.041 
59057.343 19.512 0.068 
59059.166 19.015 0.035 
