ZTF20abotxgj 0.03917775 196.622842 36.276667
filter ztfg
59056.246 19.037 0.077 
59057.195 18.710 0.037 
59060.222 17.666 0.023 
59062.202 17.313 0.018 
59065.196 16.898 0.018 
filter ztfr
59060.186 17.833 0.017 
59062.216 17.406 0.017 
59065.183 17.130 0.014 
59076.152 16.694 0.008 
59076.157 16.722 0.007 
59076.162 16.724 0.007 
59076.167 16.741 0.008 
59078.155 16.804 0.007 
59078.160 16.787 0.008 
59078.165 16.785 0.007 
59080.157 16.824 0.013 
59082.146 17.005 0.015 
59082.151 17.034 0.013 
59082.160 17.032 0.014 
59084.143 17.138 0.017 
59084.148 17.160 0.015 
59084.152 17.172 0.014 
59084.157 17.180 0.015 
59084.162 17.178 0.015 
59086.139 17.279 0.025 
59086.144 17.373 0.018 
59086.149 17.344 0.019 
59086.154 17.287 0.014 
59086.159 17.312 0.016 
59088.141 17.412 0.025 
59088.146 17.384 0.022 
59088.155 17.403 0.027 
59092.133 17.526 0.059 
59092.138 17.473 0.023 
59092.143 17.508 0.020 
59092.149 17.531 0.021 
59092.154 17.518 0.024 
59096.130 17.514 0.030 
59096.134 17.642 0.031 
59096.139 17.521 0.018 
59096.144 17.601 0.023 
59096.148 17.583 0.021 
59098.128 17.603 0.034 
59098.133 17.654 0.025 
59098.138 17.616 0.021 
filter ztfi
59059.195 18.442 0.049 
59063.194 17.649 0.027 
59073.155 17.410 0.023 
59081.153 17.825 0.034 
59085.153 18.185 0.059 
