ZTF20aboytzr 0.06778281 233.179776 27.521852
filter ztfg
59057.247 18.869 0.041 
59062.207 17.951 0.022 
59063.238 18.005 0.033 
59065.227 17.771 0.032 
59066.185 17.700 0.014 
59067.212 17.642 0.014 
59068.188 17.625 0.008 
59069.183 17.592 0.011 
59069.297 17.610 0.022 
59072.243 17.592 0.010 
59073.214 17.614 0.009 
59073.236 17.587 0.010 
59074.197 17.581 0.010 
59075.208 17.619 0.011 
59076.177 17.587 0.009 
59077.226 17.637 0.013 
59077.244 17.644 0.012 
59078.195 17.699 0.009 
59078.223 17.691 0.012 
59079.164 17.764 0.011 
59079.183 17.769 0.011 
59080.194 17.778 0.016 
59081.225 17.845 0.021 
59081.250 17.900 0.026 
59084.165 18.012 0.018 
59085.249 18.038 0.020 
59085.261 18.097 0.025 
59086.193 18.165 0.022 
59087.184 18.188 0.033 
59089.242 18.424 0.100 
59091.216 18.664 0.059 
59093.152 18.632 0.053 
59093.154 18.644 0.061 
59095.185 18.729 0.089 
filter ztfr
59057.175 18.900 0.032 
59062.227 18.084 0.021 
59063.181 17.971 0.017 
59064.279 17.877 0.029 
59065.184 17.830 0.018 
59066.226 17.786 0.017 
59067.155 17.698 0.013 
59068.268 17.655 0.017 
59069.202 17.577 0.009 
59069.203 17.570 0.009 
59071.174 17.534 0.007 
59072.179 17.541 0.008 
59073.185 17.541 0.008 
59074.176 17.495 0.009 
59074.281 17.500 0.016 
59075.221 17.493 0.010 
59076.194 17.466 0.009 
59077.163 17.421 0.011 
59077.260 17.519 0.013 
59078.181 17.528 0.009 
59079.207 17.517 0.009 
59080.185 17.500 0.012 
59081.172 17.543 0.011 
59084.195 17.664 0.015 
59086.160 17.657 0.012 
59087.165 17.710 0.018 
59089.135 17.800 0.031 
59091.203 17.868 0.020 
59093.134 17.899 0.023 
59093.207 17.937 0.035 
59094.162 18.041 0.027 
59095.143 17.914 0.017 
59130.097 19.254 0.084 
59130.102 19.219 0.065 
59130.107 19.189 0.060 
59130.111 19.253 0.060 
59130.116 19.153 0.058 
59136.093 19.644 0.155 
59136.097 19.398 0.090 
59136.102 19.199 0.071 
59136.107 19.362 0.064 
59136.111 19.456 0.083 
59138.090 19.577 0.147 
59138.095 19.466 0.098 
59138.099 19.368 0.086 
59138.104 19.249 0.071 
59138.109 19.436 0.103 
59140.089 19.299 0.107 
59140.094 19.442 0.102 
59140.098 19.505 0.094 
59140.103 19.586 0.096 
59140.108 19.444 0.079 
59142.089 19.535 0.156 
59142.093 19.485 0.116 
59142.098 19.481 0.104 
59142.103 19.284 0.085 
59142.107 19.601 0.122 
filter ztfi
59067.236 18.111 0.015 
59067.252 18.072 0.018 
59068.276 18.067 0.017 
59068.295 18.074 0.020 
59069.266 18.058 0.016 
59069.285 18.038 0.015 
59071.273 18.007 0.017 
59071.292 18.032 0.020 
59072.263 18.014 0.014 
59072.284 18.046 0.016 
59073.257 18.003 0.013 
59075.264 18.022 0.015 
59076.212 18.028 0.013 
59077.188 18.083 0.014 
59077.190 18.064 0.016 
59078.248 18.120 0.019 
59078.262 18.063 0.018 
59079.259 18.077 0.016 
59080.239 18.115 0.023 
59080.263 18.198 0.026 
59081.166 18.107 0.016 
59081.256 18.161 0.025 
59084.227 18.231 0.025 
59084.243 18.236 0.023 
59085.140 18.293 0.031 
59085.164 18.228 0.032 
59086.211 18.171 0.022 
59086.230 18.255 0.023 
59087.210 18.213 0.027 
59089.152 18.293 0.031 
59089.170 18.323 0.030 
59091.134 18.401 0.036 
59091.151 18.362 0.020 
59093.248 18.395 0.051 
