ZTF20abpzltz 0.04112839 209.833146 14.968474
filter ztfg
59065.194 17.780 0.039 
59069.162 17.345 0.011 
59069.233 17.348 0.020 
59070.158 17.301 0.012 
59070.158 17.120 0.010 
59070.232 17.295 0.017 
59070.233 17.196 0.015 
59071.156 17.234 0.013 
59071.157 17.128 0.011 
59071.158 17.226 0.009 
59071.232 17.267 0.021 
59071.232 17.146 0.018 
59071.233 17.259 0.016 
filter ztfr
59065.183 17.803 0.029 
59069.158 17.391 0.020 
59069.228 17.412 0.025 
59070.153 17.359 0.023 
59070.154 17.235 0.012 
59070.227 17.363 0.023 
59070.228 17.318 0.014 
59071.152 17.314 0.025 
59071.153 17.297 0.014 
59071.154 17.330 0.013 
59071.227 17.342 0.026 
59071.228 17.241 0.014 
59071.229 17.381 0.016 
59088.140 17.834 0.046 
59088.145 17.844 0.043 
59088.154 17.759 0.039 
59088.159 17.798 0.043 
59090.143 17.896 0.038 
59090.148 17.889 0.036 
59090.153 18.058 0.105 
59090.158 17.816 0.036 
59092.136 18.002 0.039 
59092.141 17.846 0.027 
59092.146 17.980 0.036 
59092.151 17.903 0.030 
59092.156 17.970 0.037 
59094.134 17.908 0.039 
59094.139 17.930 0.038 
59094.143 17.962 0.037 
59094.148 17.923 0.041 
59094.153 17.957 0.044 
59096.132 18.018 0.040 
59096.137 18.037 0.036 
59096.142 18.019 0.032 
59096.147 17.978 0.031 
59096.151 18.020 0.037 
filter ztfi
59059.190 20.524 0.275 
59063.190 18.646 0.073 
59070.163 17.772 0.024 
59070.237 17.809 0.036 
59071.161 17.801 0.028 
59071.237 17.818 0.036 
59081.149 18.247 0.056 
59085.149 18.454 0.084 
59091.145 18.608 0.070 
