ZTF20abtsecq 0.07479244 333.807449 24.92038
filter ztfg
59077.366 20.636 0.165 
59077.379 20.557 0.129 
59077.381 20.556 0.112 
59079.330 20.077 0.117 
59079.335 20.106 0.079 
59080.379 19.916 0.065 
59080.402 19.778 0.066 
59081.309 19.593 0.062 
59081.319 19.658 0.067 
59082.315 19.479 0.076 
59084.357 19.324 0.057 
59084.358 19.422 0.051 
59085.352 19.251 0.034 
59085.356 19.220 0.027 
59086.295 19.267 0.051 
59087.317 19.149 0.041 
59087.318 19.242 0.038 
59088.287 19.115 0.051 
59089.284 19.083 0.066 
59089.390 19.190 0.035 
59090.284 19.104 0.067 
59090.413 19.082 0.034 
59091.302 19.249 0.070 
59091.451 19.203 0.047 
59092.301 18.989 0.080 
59093.405 19.203 0.115 
59094.222 19.150 0.151 
59095.320 19.021 0.093 
59095.320 19.227 0.110 
59097.348 19.375 0.099 
59097.349 19.362 0.100 
59099.371 19.493 0.082 
59106.331 19.955 0.120 
59107.331 20.183 0.138 
59108.297 20.108 0.106 
59109.298 20.165 0.131 
59109.308 20.174 0.120 
59110.321 20.317 0.114 
59111.320 20.385 0.120 
59112.287 20.476 0.137 
59112.288 20.530 0.170 
59112.306 20.631 0.131 
59113.192 20.605 0.194 
59114.245 20.610 0.182 
59115.246 20.776 0.163 
59115.247 20.828 0.158 
59116.290 20.918 0.223 
59117.264 20.780 0.214 
59117.293 20.869 0.207 
59119.220 20.602 0.233 
59121.275 20.614 0.280 
filter ztfr
59078.306 20.203 0.174 
59078.314 20.190 0.092 
59079.307 19.987 0.134 
59079.368 19.821 0.165 
59080.328 19.772 0.068 
59080.337 19.720 0.060 
59080.338 19.692 0.083 
59081.381 19.593 0.114 
59081.396 19.501 0.046 
59082.266 19.471 0.063 
59084.308 19.226 0.040 
59084.309 19.253 0.058 
59085.316 19.156 0.046 
59086.317 19.149 0.037 
59086.351 19.093 0.063 
59087.283 19.011 0.061 
59087.305 19.027 0.064 
59087.306 19.062 0.070 
59088.363 19.057 0.060 
59089.432 18.986 0.038 
59090.453 18.972 0.036 
59091.470 18.939 0.059 
59093.356 19.008 0.091 
59094.326 18.973 0.091 
59094.358 18.996 0.114 
59095.370 18.991 0.083 
59096.315 18.981 0.057 
59097.290 19.158 0.075 
59097.291 19.202 0.078 
59098.312 19.036 0.063 
59098.350 19.088 0.073 
59099.217 19.238 0.100 
59099.319 19.117 0.071 
59106.343 19.549 0.085 
59106.352 19.589 0.087 
59107.255 19.524 0.131 
59109.234 19.662 0.096 
59109.235 19.681 0.083 
59110.253 19.840 0.156 
59111.257 19.573 0.055 
59112.191 19.652 0.104 
59112.192 19.668 0.084 
59113.270 19.759 0.068 
59113.292 19.621 0.076 
59114.297 19.623 0.114 
59115.286 19.730 0.096 
59115.287 19.643 0.128 
59116.329 19.626 0.061 
59117.343 19.749 0.096 
59118.250 19.755 0.109 
59121.197 19.803 0.227 
59123.290 19.691 0.193 
59124.235 19.964 0.187 
59125.278 19.820 0.180 
59125.279 19.831 0.113 
59130.194 20.457 0.170 
59131.247 20.465 0.141 
59134.182 20.497 0.119 
59136.187 20.652 0.137 
59138.145 20.562 0.167 
59140.140 20.738 0.186 
59144.194 20.423 0.112 
59145.161 20.793 0.135 
59151.120 20.737 0.283 
