ZTF20abushtf 0.07630171 52.068329 36.799547
filter ztfg
59080.468 19.314 0.039 
59081.484 19.293 0.038 
59082.446 19.140 0.047 
59083.487 19.088 0.035 
59084.411 18.996 0.023 
59084.467 18.994 0.026 
59085.447 18.959 0.028 
59086.497 18.889 0.022 
59087.492 18.833 0.027 
59088.505 18.901 0.031 
59090.393 18.855 0.036 
59091.393 18.945 0.058 
59092.384 18.926 0.062 
59093.465 19.035 0.059 
59093.478 19.024 0.066 
59096.471 19.200 0.072 
59097.449 19.115 0.093 
59097.459 19.234 0.087 
59106.486 19.749 0.075 
59107.396 19.895 0.070 
59107.402 20.017 0.077 
59110.507 20.179 0.085 
59112.527 20.067 0.134 
59113.412 20.455 0.093 
59116.509 21.031 0.132 
59116.527 20.798 0.194 
59118.471 20.843 0.110 
59123.396 20.111 0.244 
filter ztfr
59080.488 19.329 0.036 
59080.492 19.316 0.036 
59080.505 19.374 0.048 
59080.506 19.368 0.042 
59081.451 19.174 0.032 
59081.452 19.314 0.034 
59082.493 19.214 0.037 
59082.501 19.103 0.037 
59083.469 19.031 0.034 
59083.476 18.961 0.036 
59084.497 19.014 0.024 
59084.499 18.994 0.025 
59084.502 18.973 0.024 
59085.475 18.948 0.021 
59085.475 18.909 0.020 
59086.432 18.909 0.021 
59086.432 18.934 0.024 
59086.442 18.907 0.022 
59086.444 18.876 0.021 
59089.467 18.887 0.040 
59090.475 18.898 0.024 
59091.489 18.843 0.021 
59093.490 18.938 0.042 
59094.379 19.006 0.084 
59095.410 18.990 0.064 
59096.360 18.932 0.056 
59097.479 19.095 0.072 
59107.426 19.521 0.051 
59108.477 19.559 0.052 
59109.403 19.626 0.070 
59110.463 19.633 0.062 
59111.417 19.675 0.056 
59112.391 19.582 0.043 
59113.426 19.694 0.050 
59114.414 19.795 0.057 
59114.416 19.816 0.052 
59115.346 19.714 0.058 
59115.347 19.667 0.059 
59116.374 19.707 0.045 
59116.374 19.900 0.054 
59116.430 19.840 0.049 
59116.432 19.667 0.041 
59117.391 19.778 0.054 
59117.391 19.769 0.048 
59118.333 19.931 0.076 
59119.467 19.757 0.044 
59120.493 19.847 0.067 
59122.387 20.085 0.126 
59123.365 19.825 0.151 
59125.479 20.050 0.148 
59129.469 20.175 0.134 
59136.472 20.467 0.099 
59136.474 20.879 0.149 
59139.372 20.835 0.154 
59139.375 20.989 0.183 
59143.320 21.258 0.168 
59143.320 20.868 0.142 
59145.343 20.954 0.136 
59145.344 21.037 0.139 
59151.364 20.783 0.297 
