ZTF20abxtiyh 0.04201 50.953676 -14.41608
filter ztfg
59091.456 18.925 0.029 
59092.450 19.193 0.090 
59093.439 19.144 0.115 
59095.494 19.140 0.125 
59097.418 19.273 0.189 
59099.400 19.164 0.171 
59099.401 19.489 0.246 
59111.378 19.814 0.085 
59121.481 20.472 0.153 
59124.492 19.530 0.202 
59134.400 20.409 0.159 
59134.401 20.340 0.146 
59135.421 20.567 0.134 
59136.377 20.522 0.116 
59137.401 20.490 0.134 
59139.378 20.799 0.190 
59140.398 20.842 0.176 
59141.403 20.619 0.139 
59142.408 20.709 0.131 
59143.367 20.943 0.168 
59144.363 20.713 0.119 
59145.401 20.751 0.119 
59158.317 20.466 0.303 
59165.309 21.098 0.195 
filter ztfr
59094.439 18.127 0.062 
59095.465 18.250 0.051 
59096.417 18.386 0.058 
59096.418 18.232 0.047 
59096.429 18.341 0.056 
59108.460 19.046 0.054 
59111.418 19.118 0.049 
59117.398 19.481 0.056 
59121.439 19.353 0.117 
59124.357 19.544 0.157 
59124.368 19.409 0.149 
59124.372 19.789 0.222 
59124.418 19.477 0.149 
59126.418 19.508 0.193 
59128.410 19.135 0.180 
59129.461 19.723 0.126 
59130.435 19.865 0.107 
59130.436 19.819 0.099 
59131.419 19.944 0.159 
59134.437 20.014 0.160 
59134.472 19.987 0.112 
59134.472 19.957 0.103 
59135.378 19.883 0.093 
59137.360 20.037 0.105 
59137.362 19.962 0.091 
59137.377 20.189 0.126 
59139.300 19.738 0.092 
59139.309 20.240 0.123 
59139.309 20.347 0.130 
59141.375 20.162 0.118 
59142.363 20.587 0.164 
59143.334 20.297 0.114 
59144.400 20.106 0.080 
59144.431 20.546 0.118 
59145.373 20.535 0.135 
59150.297 20.397 0.275 
59150.369 20.756 0.309 
59155.281 20.133 0.228 
59165.243 21.338 0.269 
59165.243 20.702 0.155 
59165.331 20.758 0.198 
59165.333 21.007 0.228 
