ZTF20abypkpz 0.06206023 315.934161 7.294526
filter ztfg
59098.206 19.918 0.150 
59098.206 19.948 0.119 
59111.167 18.405 0.025 
59114.211 18.466 0.031 
59122.270 19.276 0.141 
59122.271 19.444 0.162 
59122.304 19.267 0.154 
59123.170 19.648 0.182 
59129.311 20.212 0.196 
59136.131 20.394 0.140 
59140.156 20.495 0.179 
filter ztfr
59098.300 19.727 0.131 
59099.341 19.617 0.119 
59099.342 19.766 0.134 
59099.342 19.345 0.114 
59111.249 18.359 0.027 
59114.280 18.348 0.034 
59123.275 18.720 0.110 
59125.255 18.795 0.066 
59131.221 19.091 0.067 
59134.187 19.005 0.064 
59138.118 19.205 0.072 
59140.116 19.524 0.077 
59142.130 19.596 0.098 
59150.196 20.215 0.270 
59151.182 20.427 0.247 
59151.183 20.038 0.168 
59152.201 19.935 0.184 
59153.176 19.932 0.185 
59153.176 20.582 0.286 
59164.130 20.111 0.144 
59165.083 21.015 0.309 
59165.083 20.661 0.226 
59169.130 19.847 0.178 
59179.102 20.619 0.266 
