ZTF20acajvrj 0.07039693 1.271665 12.768023
filter ztfg
59111.368 20.230 0.078 
59112.332 19.954 0.050 
59114.321 19.549 0.041 
59115.270 19.493 0.044 
59117.269 19.242 0.043 
59118.374 19.138 0.025 
59120.282 19.061 0.068 
59121.329 19.038 0.089 
59122.283 18.876 0.098 
59125.381 19.133 0.102 
59129.329 19.366 0.057 
59131.254 19.532 0.044 
59134.269 19.865 0.066 
59136.236 20.049 0.061 
59138.231 20.314 0.104 
59140.277 20.416 0.082 
59143.358 20.650 0.107 
59145.274 20.744 0.104 
filter ztfr
59108.391 20.606 0.142 
59110.366 20.073 0.090 
59112.338 19.831 0.049 
59113.303 19.513 0.052 
59115.304 19.224 0.040 
59115.315 19.260 0.043 
59116.363 19.126 0.030 
59118.263 18.924 0.033 
59118.327 18.949 0.028 
59125.294 18.715 0.052 
59129.234 18.868 0.035 
59131.233 18.926 0.025 
59134.300 19.125 0.037 
59136.301 19.214 0.036 
59138.277 19.249 0.051 
59140.250 19.287 0.034 
59143.215 19.369 0.035 
59145.180 19.332 0.036 
59152.223 19.705 0.138 
59154.171 19.932 0.136 
59157.219 19.893 0.087 
59164.173 20.130 0.161 
59167.246 20.225 0.119 
59169.192 20.339 0.111 
59171.193 20.497 0.104 
59173.219 20.507 0.100 
filter ztfi
59119.304 19.142 0.056 
59143.292 19.806 0.111 
59144.287 19.848 0.095 
