ZTF20acbgefk 0.03590275 85.8207 63.760425
filter ztfg
59111.361 20.126 0.114 
59114.348 20.440 0.140 
59116.513 20.333 0.082 
59117.428 20.215 0.080 
59118.461 20.350 0.074 
59120.371 20.519 0.282 
59121.394 20.590 0.238 
59121.496 20.422 0.092 
59122.369 20.401 0.277 
59123.409 20.244 0.264 
59135.431 20.944 0.143 
59137.427 20.810 0.129 
59141.431 21.155 0.160 
filter ztfr
59108.497 19.731 0.070 
59111.429 19.713 0.074 
59112.499 19.696 0.056 
59114.492 19.532 0.052 
59115.385 19.388 0.049 
59115.405 19.542 0.056 
59116.425 19.455 0.042 
59117.408 19.693 0.054 
59121.464 19.512 0.070 
59122.487 19.710 0.092 
59123.373 19.563 0.118 
59124.327 19.490 0.115 
59125.487 19.483 0.082 
59126.352 19.550 0.106 
59129.491 19.852 0.089 
59135.409 19.647 0.060 
59137.391 19.497 0.052 
59139.297 19.945 0.089 
59143.342 19.750 0.065 
59145.387 19.742 0.054 
59149.373 20.195 0.162 
59151.360 20.093 0.176 
59153.445 19.680 0.111 
59155.448 20.052 0.133 
59157.469 19.950 0.168 
59164.515 19.951 0.090 
59166.432 20.298 0.104 
59168.343 20.163 0.102 
59170.410 20.195 0.102 
59179.325 20.474 0.229 
59181.283 19.988 0.229 
59185.346 20.385 0.203 
