ZTF20accodxy 0.0792 319.261288 -9.042647
filter ztfg
59123.170 19.178 0.148 
59125.189 19.133 0.086 
59130.188 19.152 0.031 
59131.189 19.104 0.034 
59134.146 19.352 0.041 
59135.232 19.354 0.052 
59136.130 19.421 0.043 
59137.228 19.462 0.064 
59138.192 19.501 0.058 
59140.176 19.792 0.058 
59142.113 19.886 0.062 
59143.186 19.978 0.076 
59145.218 19.797 0.100 
59150.148 20.294 0.257 
59158.179 20.617 0.292 
filter ztfr
59123.272 18.662 0.113 
59123.273 19.302 0.222 
59125.253 18.884 0.054 
59125.270 18.886 0.060 
59129.190 18.939 0.042 
59131.214 18.890 0.038 
59134.169 19.072 0.045 
59135.187 19.029 0.034 
59136.169 19.114 0.047 
59137.204 19.144 0.045 
59138.128 19.243 0.051 
59139.250 19.224 0.054 
59140.129 19.330 0.040 
59141.147 19.305 0.047 
59141.186 19.246 0.063 
59141.186 19.257 0.054 
59142.146 19.358 0.045 
59143.133 19.374 0.041 
59145.125 19.532 0.056 
59149.128 19.276 0.190 
59150.191 19.560 0.136 
59151.110 19.456 0.101 
59151.111 19.649 0.113 
59152.190 19.617 0.123 
59152.191 19.513 0.114 
59153.180 19.685 0.169 
59153.180 20.035 0.226 
59154.183 19.810 0.147 
59154.195 19.566 0.139 
59157.225 19.987 0.210 
59158.125 19.728 0.074 
59158.128 19.783 0.097 
59164.146 20.229 0.186 
59165.122 20.387 0.144 
59165.123 20.175 0.120 
59167.108 20.327 0.194 
59168.117 20.344 0.159 
59168.118 20.081 0.129 
59170.124 20.269 0.144 
59172.146 20.341 0.159 
59205.082 20.467 0.283 
