ZTF20acehyxd 0.03459622 24.767551 75.323454
filter ztfg
59120.269 20.655 0.289 
59120.328 20.746 0.272 
59120.451 20.402 0.102 
59121.355 20.517 0.254 
59121.357 20.469 0.209 
59122.307 20.320 0.265 
59123.390 20.262 0.278 
59125.383 19.769 0.169 
59129.316 19.459 0.069 
59131.327 19.600 0.089 
59134.257 19.724 0.075 
59136.340 19.690 0.051 
59136.341 19.704 0.044 
59138.241 19.858 0.092 
59140.281 20.021 0.064 
59140.404 19.967 0.081 
59142.391 20.113 0.057 
59144.327 20.340 0.068 
59144.327 20.254 0.065 
59150.412 20.399 0.223 
filter ztfr
59120.493 19.612 0.058 
59123.311 18.941 0.084 
59124.280 18.943 0.052 
59125.331 18.847 0.045 
59129.258 18.719 0.028 
59131.430 18.737 0.050 
59134.324 18.796 0.031 
59136.304 18.800 0.028 
59136.490 18.888 0.066 
59138.343 18.850 0.138 
59140.239 19.154 0.071 
59140.255 19.011 0.027 
59144.249 19.216 0.033 
59144.413 19.316 0.031 
59150.284 19.316 0.066 
59150.285 19.476 0.072 
59152.382 19.568 0.113 
59154.173 19.534 0.121 
59157.431 19.590 0.098 
59157.447 19.561 0.119 
59164.292 19.845 0.098 
59168.136 20.283 0.102 
59170.136 20.201 0.099 
59170.259 20.048 0.105 
59172.160 20.473 0.152 
59178.219 20.351 0.113 
59182.364 20.686 0.291 
59193.261 21.080 0.170 
