ZTF20acfviac 0.03590505 84.82191 63.64168
filter ztfg
59120.371 19.902 0.168 
59121.394 19.384 0.091 
59121.496 19.234 0.028 
59122.369 18.882 0.077 
59123.409 18.648 0.066 
59125.424 18.178 0.031 
59127.425 18.017 0.043 
59129.424 17.738 0.021 
59131.357 17.627 0.026 
59135.431 17.563 0.008 
59137.427 17.642 0.008 
59139.408 17.698 0.012 
59141.431 17.798 0.009 
59143.388 17.900 0.009 
59145.435 18.049 0.013 
59149.467 18.377 0.020 
59151.389 18.474 0.048 
59153.431 18.548 0.054 
59155.389 18.812 0.058 
59157.405 18.886 0.056 
59164.444 19.591 0.049 
59166.410 19.696 0.044 
59168.372 19.948 0.071 
59170.437 19.926 0.067 
59172.300 20.172 0.094 
59177.408 20.205 0.077 
59179.479 20.186 0.096 
59181.237 20.154 0.233 
59194.412 20.126 0.125 
59196.325 20.185 0.143 
59198.349 20.092 0.103 
59200.220 20.185 0.119 
59203.313 20.010 0.107 
59205.287 20.059 0.096 
filter ztfr
59121.464 19.007 0.045 
59122.487 18.754 0.039 
59123.373 18.405 0.042 
59124.327 18.356 0.043 
59125.487 18.077 0.021 
59126.352 17.936 0.026 
59129.491 17.649 0.013 
59135.409 17.499 0.009 
59137.391 17.519 0.010 
59139.297 17.501 0.009 
59143.342 17.758 0.011 
59145.387 17.860 0.009 
59149.373 18.183 0.027 
59151.360 18.363 0.033 
59153.445 18.297 0.028 
59155.448 18.265 0.023 
59157.469 18.370 0.036 
59164.515 18.420 0.020 
59166.432 18.439 0.019 
59168.343 18.550 0.021 
59170.410 18.659 0.021 
59179.325 19.180 0.069 
59181.283 19.499 0.134 
59185.346 19.613 0.102 
59187.448 19.445 0.121 
59189.269 19.519 0.055 
59194.370 19.638 0.082 
59196.366 19.405 0.074 
59198.280 19.416 0.067 
59203.220 19.500 0.082 
59205.173 19.618 0.072 
