ZTF20achncqp 0.1015791 120.877614 64.109128
filter ztfg
59129.416 19.835 0.126 
59129.417 19.487 0.110 
59129.418 19.669 0.112 
59129.449 19.737 0.109 
59129.450 19.790 0.113 
59130.489 19.483 0.069 
59130.490 19.561 0.084 
59130.491 19.807 0.091 
59131.378 19.205 0.129 
59131.379 19.359 0.137 
59134.525 19.082 0.041 
59134.529 19.047 0.041 
59134.536 19.047 0.056 
59134.536 19.005 0.060 
59134.538 19.056 0.079 
59134.539 18.974 0.067 
59135.435 18.994 0.028 
59135.436 18.999 0.026 
59135.450 19.048 0.025 
59135.451 19.047 0.025 
59136.370 18.925 0.029 
59136.370 18.939 0.029 
59136.450 18.929 0.021 
59136.452 18.968 0.024 
59137.424 18.908 0.025 
59137.428 18.862 0.022 
59137.429 18.894 0.024 
59137.430 18.925 0.025 
59137.433 18.930 0.027 
59137.434 18.932 0.028 
59139.413 18.804 0.031 
59139.431 18.811 0.032 
59139.432 18.917 0.034 
59140.515 18.782 0.025 
59140.517 18.898 0.026 
59141.437 18.937 0.028 
59141.438 18.932 0.024 
59141.449 18.866 0.018 
59141.450 18.921 0.021 
59142.464 18.913 0.023 
59142.464 18.914 0.025 
59142.465 18.937 0.023 
59142.465 18.950 0.023 
59142.487 18.888 0.016 
59142.489 18.927 0.020 
59143.410 18.916 0.023 
59143.411 18.950 0.024 
59143.428 18.930 0.019 
59144.465 18.947 0.021 
59144.472 19.003 0.022 
59144.473 19.025 0.022 
59144.475 18.969 0.024 
59144.476 18.951 0.024 
59144.517 18.942 0.018 
59145.447 18.992 0.021 
59145.448 18.980 0.021 
59145.452 18.994 0.022 
59145.453 19.026 0.024 
59149.312 19.004 0.144 
59149.312 19.136 0.144 
59149.464 19.094 0.041 
59149.465 19.204 0.042 
59149.466 19.182 0.039 
59149.491 19.190 0.038 
59150.445 19.210 0.054 
59150.446 19.199 0.055 
59150.447 19.115 0.061 
59151.307 19.322 0.164 
59151.308 19.343 0.134 
59151.472 19.355 0.107 
59152.327 19.470 0.144 
59152.328 19.434 0.142 
59152.366 19.187 0.105 
59152.367 19.346 0.106 
59152.368 19.428 0.126 
59153.425 19.453 0.148 
59155.369 19.798 0.142 
59155.371 19.720 0.134 
59155.394 19.692 0.144 
59155.409 19.644 0.133 
59156.443 19.892 0.152 
59156.444 19.680 0.153 
59157.408 19.761 0.147 
59157.410 19.793 0.153 
59157.520 19.695 0.118 
59158.451 19.542 0.124 
59158.469 19.993 0.139 
59159.518 19.795 0.083 
59159.519 20.069 0.101 
59163.423 20.283 0.139 
59163.424 20.321 0.139 
59164.446 20.506 0.120 
59164.449 20.465 0.102 
59165.370 20.558 0.104 
59165.373 20.591 0.112 
59165.386 20.553 0.096 
59165.391 20.437 0.086 
59166.481 20.517 0.097 
59166.483 20.778 0.106 
59167.513 20.770 0.179 
59167.515 20.766 0.180 
59167.517 20.752 0.169 
59167.520 20.644 0.142 
59168.470 20.730 0.120 
59168.491 21.032 0.158 
59169.497 20.697 0.129 
59169.498 20.994 0.160 
59169.499 20.801 0.162 
59169.500 20.766 0.144 
59170.453 21.047 0.183 
59170.456 20.814 0.126 
59171.409 21.000 0.187 
59173.454 21.171 0.175 
59176.362 21.182 0.208 
59176.391 21.062 0.137 
59176.481 21.570 0.263 
59177.411 21.903 0.291 
59179.455 21.176 0.277 
59179.473 21.277 0.209 
59179.476 21.631 0.247 
59205.389 21.857 0.309 
filter ztfr
59128.492 20.008 0.125 
59128.494 20.093 0.136 
59128.495 20.053 0.149 
59129.482 19.903 0.084 
59129.484 19.782 0.082 
59129.485 19.730 0.079 
59130.448 19.760 0.100 
59130.448 19.776 0.097 
59130.449 19.699 0.079 
59134.484 19.297 0.067 
59134.503 19.280 0.050 
59135.381 19.130 0.037 
59135.412 19.089 0.033 
59135.413 19.137 0.035 
59135.416 19.201 0.037 
59136.483 19.034 0.028 
59136.503 19.046 0.030 
59137.386 19.067 0.041 
59137.387 19.129 0.040 
59137.389 18.958 0.033 
59137.389 19.016 0.038 
59139.492 18.960 0.028 
59140.540 19.018 0.053 
59141.367 18.837 0.046 
59141.368 18.931 0.050 
59141.368 18.874 0.039 
59141.369 19.009 0.037 
59142.506 18.927 0.020 
59142.508 18.927 0.020 
59143.468 18.919 0.023 
59143.470 18.912 0.024 
59143.494 18.915 0.027 
59144.440 18.952 0.022 
59144.441 18.886 0.023 
59145.383 18.955 0.027 
59145.386 19.011 0.028 
59145.497 18.966 0.022 
59145.498 18.988 0.024 
59149.343 19.211 0.118 
59149.370 19.049 0.065 
59149.372 19.205 0.081 
59149.396 19.258 0.089 
59150.476 19.135 0.037 
59150.494 19.170 0.035 
59150.495 19.118 0.031 
59151.448 19.388 0.102 
59152.447 19.407 0.089 
59152.469 19.330 0.079 
59152.470 19.320 0.096 
59153.474 19.151 0.064 
59155.471 19.444 0.064 
59155.472 19.296 0.063 
59155.473 19.381 0.068 
59155.473 19.347 0.067 
59156.518 19.417 0.082 
59156.519 19.343 0.064 
59157.467 19.480 0.086 
59157.467 19.590 0.088 
59157.468 19.663 0.122 
59157.473 19.637 0.123 
59158.365 19.449 0.141 
59158.516 19.876 0.157 
59159.469 19.571 0.066 
59159.472 19.414 0.060 
59159.474 19.571 0.063 
59159.474 19.620 0.063 
59163.514 19.644 0.058 
59163.516 19.754 0.063 
59164.519 19.673 0.062 
59164.520 19.831 0.056 
59165.409 19.690 0.058 
59165.413 19.729 0.057 
59165.426 19.842 0.064 
59165.427 19.983 0.074 
59166.528 19.750 0.061 
59166.530 19.692 0.056 
59167.461 19.787 0.090 
59167.462 20.104 0.122 
59167.492 20.022 0.098 
59167.495 20.122 0.119 
59168.344 19.962 0.110 
59168.346 20.020 0.105 
59169.514 20.118 0.131 
59169.515 19.841 0.087 
59170.408 19.880 0.079 
59170.513 19.903 0.068 
59171.463 19.931 0.084 
59171.498 19.959 0.079 
59171.499 19.992 0.065 
59173.431 19.856 0.087 
59175.496 20.093 0.125 
59176.427 20.205 0.084 
59176.428 20.126 0.082 
59176.432 20.083 0.074 
59177.476 20.247 0.084 
59177.476 20.147 0.082 
59177.477 20.217 0.074 
59178.556 20.211 0.097 
59179.341 20.556 0.229 
59179.343 20.256 0.171 
59179.368 20.056 0.183 
59181.467 20.302 0.147 
59181.469 20.492 0.199 
59182.443 20.304 0.193 
59187.431 20.451 0.265 
59188.365 20.489 0.180 
59189.243 20.367 0.148 
59189.366 20.424 0.144 
59193.274 20.795 0.143 
59193.389 21.137 0.177 
59193.506 20.786 0.176 
59193.508 20.721 0.150 
59193.510 20.801 0.153 
59194.392 20.620 0.184 
59194.503 20.717 0.139 
59196.305 20.902 0.287 
59196.492 20.527 0.235 
59196.493 20.926 0.278 
59198.435 20.982 0.222 
59198.437 20.827 0.163 
59198.451 20.958 0.222 
59202.383 21.052 0.305 
59203.435 20.827 0.248 
59204.382 21.195 0.194 
59204.431 21.364 0.235 
59205.198 20.933 0.271 
59205.199 20.825 0.241 
filter ztfi
59140.494 19.365 0.061 
59182.353 20.597 0.306 
