ZTF20achzugy 0.05339981 356.006425 25.963046
filter ztfg
59129.327 20.060 0.142 
59131.320 19.261 0.065 
59134.247 18.548 0.026 
59136.235 18.227 0.016 
59138.250 18.101 0.019 
59140.208 18.021 0.014 
59144.322 18.015 0.015 
59149.256 18.218 0.062 
59151.194 18.391 0.061 
59153.236 18.650 0.078 
59155.198 18.879 0.070 
59157.194 18.989 0.062 
59164.236 19.972 0.143 
59167.272 20.523 0.175 
59171.174 20.588 0.143 
filter ztfr
59129.220 19.955 0.174 
59131.234 19.448 0.084 
59134.204 18.675 0.043 
59136.208 18.279 0.030 
59138.306 18.129 0.032 
59140.214 17.983 0.022 
59144.213 17.973 0.025 
59146.192 17.916 0.033 
59149.196 18.103 0.071 
59151.218 18.161 0.052 
59153.123 18.225 0.054 
59155.264 18.410 0.057 
59157.249 18.329 0.046 
59167.212 18.934 0.055 
59169.194 18.943 0.062 
59173.223 19.109 0.067 
59182.125 19.922 0.246 
59184.122 19.656 0.159 
59188.250 19.809 0.254 
59194.131 19.850 0.154 
59199.138 20.083 0.289 
59202.133 19.935 0.153 
59204.180 20.121 0.254 
59204.181 19.946 0.235 
59205.159 20.010 0.171 
filter ztfi
59172.193 19.293 0.191 
