ZTF20ackrqfi 0.07203801 170.772095 40.78232
filter ztfg
59140.509 18.324 0.027 
59142.496 18.169 0.015 
59143.517 18.018 0.012 
59144.509 18.086 0.012 
59150.443 18.167 0.065 
59150.515 18.044 0.013 
59152.510 18.321 0.047 
59152.547 18.193 0.033 
59155.520 18.344 0.031 
59155.525 18.428 0.036 
59157.527 18.552 0.038 
59158.493 18.658 0.068 
59165.515 19.242 0.028 
59165.516 19.405 0.035 
59168.510 19.679 0.055 
59168.511 19.639 0.051 
59170.474 19.702 0.057 
59170.488 19.700 0.051 
59173.487 20.166 0.090 
59173.494 19.945 0.079 
59176.500 20.323 0.086 
59177.533 20.350 0.077 
59179.487 20.568 0.132 
59181.531 21.007 0.230 
59182.558 20.435 0.165 
59185.493 20.345 0.166 
59187.536 20.389 0.246 
59194.538 20.815 0.151 
59198.513 21.075 0.171 
59198.514 21.156 0.172 
59203.532 21.298 0.243 
59205.428 21.296 0.277 
filter ztfr
59140.531 18.455 0.045 
59142.535 18.258 0.018 
59143.492 18.203 0.018 
59144.535 18.221 0.015 
59150.534 18.221 0.019 
59150.544 18.282 0.038 
59152.472 18.363 0.059 
59152.489 18.279 0.042 
59155.477 18.395 0.033 
59155.490 18.417 0.031 
59157.496 18.490 0.039 
59158.533 18.673 0.068 
59159.494 18.464 0.147 
59165.432 18.928 0.036 
59165.475 18.858 0.026 
59168.447 18.929 0.051 
59168.531 18.967 0.030 
59170.540 19.027 0.036 
59170.549 19.019 0.034 
59176.554 19.296 0.045 
59181.413 19.252 0.100 
59181.413 19.621 0.143 
59181.495 19.592 0.085 
59182.431 19.726 0.093 
59182.432 19.744 0.099 
59182.496 19.435 0.102 
59184.493 19.664 0.092 
59184.510 19.877 0.120 
59185.531 19.724 0.088 
59185.532 19.781 0.095 
59187.496 19.710 0.191 
59187.498 19.983 0.219 
59188.386 19.930 0.150 
59192.508 19.996 0.145 
59193.515 20.045 0.069 
59194.506 20.081 0.064 
59195.497 20.245 0.108 
59198.473 20.193 0.101 
59198.493 20.423 0.108 
59200.531 20.128 0.154 
59203.471 20.210 0.112 
filter ztfi
59140.481 18.855 0.090 
59164.492 19.754 0.107 
59166.504 19.661 0.089 
59168.546 19.629 0.099 
59177.454 19.548 0.113 
59179.405 19.609 0.197 
59181.443 19.622 0.168 
59189.533 20.128 0.113 
59189.533 20.370 0.171 
