ZTF20acnigox 0.06734099 88.749133 54.443778
filter ztfg
59149.487 19.176 0.036 
59151.390 18.966 0.060 
59153.429 18.804 0.050 
59155.404 18.666 0.044 
59157.407 18.724 0.051 
59166.410 19.213 0.026 
59168.371 19.310 0.032 
59170.437 19.656 0.044 
59172.300 19.821 0.054 
59176.395 20.194 0.053 
59179.450 20.306 0.118 
59196.339 21.172 0.268 
59198.365 21.430 0.233 
59205.309 21.646 0.228 
filter ztfr
59149.426 19.283 0.055 
59151.514 18.971 0.043 
59153.445 18.774 0.046 
59155.450 18.650 0.037 
59157.450 18.726 0.052 
59164.515 18.887 0.028 
59166.434 19.061 0.031 
59168.344 19.158 0.039 
59170.411 19.231 0.033 
59176.409 19.452 0.040 
59179.372 19.513 0.070 
59181.378 19.623 0.144 
59185.347 19.818 0.131 
59187.423 20.177 0.193 
59189.268 19.978 0.085 
59194.342 20.250 0.091 
59196.366 20.329 0.140 
59198.265 20.511 0.148 
59203.282 20.798 0.201 
59205.174 20.964 0.203 
59219.259 20.993 0.167 
59225.265 21.165 0.211 
