ZTF20acnvlgg 0.06944758 180.135595 56.39099
filter ztfg
59149.506 18.224 0.021 
59151.499 17.995 0.028 
59153.513 17.935 0.046 
59156.476 17.688 0.029 
59158.493 17.741 0.029 
59165.527 17.918 0.009 
59168.496 18.053 0.013 
59170.473 18.161 0.016 
59173.472 18.362 0.025 
59177.537 18.712 0.019 
59182.556 19.041 0.056 
59185.495 19.236 0.068 
59187.540 19.506 0.134 
59189.519 19.605 0.067 
59195.536 20.075 0.135 
59198.533 20.236 0.091 
59203.532 20.587 0.162 
59221.487 20.797 0.143 
59223.411 21.013 0.225 
59225.479 20.470 0.170 
59227.470 20.814 0.125 
59229.448 21.080 0.286 
59231.454 20.747 0.103 
filter ztfr
59153.493 18.042 0.035 
59156.535 17.925 0.017 
59158.533 17.926 0.039 
59165.473 17.991 0.012 
59168.448 18.139 0.024 
59170.551 18.310 0.020 
59181.388 18.702 0.100 
59181.388 18.746 0.102 
59182.414 18.713 0.054 
59182.414 18.668 0.047 
59182.494 18.614 0.051 
59185.475 18.713 0.034 
59187.466 18.621 0.056 
59195.496 19.025 0.043 
59198.469 19.276 0.045 
59200.532 19.252 0.065 
59203.507 19.441 0.061 
59215.446 19.660 0.170 
59216.363 19.727 0.085 
59216.364 19.870 0.100 
59217.392 19.918 0.124 
59217.411 20.087 0.113 
59217.412 20.003 0.093 
59219.472 19.978 0.084 
59221.426 19.854 0.076 
59223.477 20.027 0.084 
59225.405 20.213 0.108 
59227.374 20.050 0.067 
filter ztfi
59164.487 18.855 0.050 
59168.547 18.866 0.049 
59181.444 19.813 0.191 
59189.545 19.315 0.060 
59199.496 19.513 0.103 
59202.467 19.878 0.135 
59222.485 20.487 0.202 
59231.509 20.698 0.159 
