ZTF20acnvnss 0.0444 168.140578 -6.282668
filter ztfg
59166.490 19.670 0.144 
59169.486 19.941 0.204 
59170.500 19.952 0.159 
59170.500 20.216 0.163 
59173.482 20.072 0.197 
59176.520 20.760 0.290 
59176.521 20.472 0.191 
59178.504 20.630 0.183 
filter ztfr
59149.526 17.882 0.100 
59149.530 18.097 0.129 
59149.535 17.791 0.093 
59151.525 18.210 0.078 
59151.526 18.159 0.120 
59151.530 17.927 0.066 
59151.531 18.080 0.095 
59151.535 18.000 0.071 
59151.535 17.909 0.089 
59151.540 18.166 0.088 
59151.540 17.886 0.095 
59151.544 17.945 0.101 
59151.545 18.264 0.166 
59153.527 17.914 0.087 
59153.528 17.913 0.098 
59153.532 17.864 0.076 
59153.532 18.014 0.108 
59153.537 17.928 0.067 
59153.537 17.991 0.105 
59153.541 17.846 0.067 
59153.542 18.032 0.100 
59153.546 18.115 0.098 
59153.546 18.199 0.162 
59155.528 18.036 0.086 
59155.532 18.074 0.057 
59155.533 18.038 0.080 
59155.537 17.900 0.047 
59155.537 18.049 0.086 
59155.542 18.048 0.056 
59155.542 17.970 0.074 
59155.546 18.015 0.059 
59155.547 18.041 0.091 
59157.530 18.294 0.106 
59157.534 18.101 0.078 
59157.539 18.292 0.104 
59157.544 18.276 0.096 
59157.548 18.165 0.099 
59166.536 18.464 0.085 
59168.541 18.731 0.112 
59169.529 18.738 0.085 
59170.558 18.850 0.161 
59170.558 18.673 0.095 
59196.508 19.544 0.240 
59198.481 19.492 0.213 
59198.482 19.611 0.303 
