ZTF20acowcee 0.10991989 28.626941 -21.301042
filter ztfg
59145.262 20.582 0.114 
59145.263 20.494 0.103 
59149.269 19.499 0.238 
59150.360 19.855 0.245 
59151.276 19.525 0.190 
59151.276 19.498 0.189 
59152.319 19.169 0.219 
59154.311 19.171 0.146 
59154.327 18.879 0.108 
59154.328 19.185 0.135 
59156.337 19.149 0.083 
59158.292 19.165 0.108 
59158.302 19.105 0.109 
59158.303 19.086 0.107 
59165.207 19.053 0.033 
59165.207 19.133 0.034 
59165.294 19.207 0.046 
59168.230 19.445 0.053 
59168.242 19.188 0.043 
59168.242 19.163 0.043 
59169.315 19.377 0.074 
59170.249 19.593 0.065 
59171.308 19.477 0.068 
59173.281 19.475 0.067 
59173.282 19.494 0.062 
59174.206 19.397 0.089 
59174.207 19.464 0.104 
59176.263 19.740 0.120 
59176.264 19.637 0.118 
59179.204 20.041 0.240 
59179.205 20.131 0.250 
59182.189 19.938 0.284 
59182.232 19.842 0.217 
59182.232 19.935 0.226 
59198.207 20.553 0.307 
filter ztfr
59149.336 20.175 0.282 
59153.331 19.749 0.234 
59158.336 19.176 0.109 
59164.294 19.216 0.090 
59165.230 19.055 0.039 
59167.240 19.242 0.069 
59168.297 19.185 0.060 
59168.312 19.388 0.107 
59168.313 19.426 0.111 
59169.293 19.315 0.069 
59170.291 19.436 0.079 
59172.286 19.517 0.094 
59172.290 19.546 0.088 
59176.273 19.688 0.127 
59176.313 19.600 0.215 
59178.232 19.847 0.131 
59182.202 20.022 0.295 
59182.202 19.753 0.247 
59183.204 19.964 0.305 
59184.250 19.627 0.297 
59184.273 19.769 0.215 
59185.247 19.979 0.286 
59189.231 19.916 0.103 
59195.210 20.565 0.168 
59205.187 20.518 0.295 
