ZTF20acoyyly 0.04582194 353.577994 43.379522
filter ztfg
59157.270 20.495 0.171 
59157.289 20.488 0.170 
59158.172 19.929 0.084 
59164.237 18.742 0.031 
59164.238 18.726 0.032 
59165.176 18.658 0.021 
59167.330 18.542 0.032 
59168.202 18.455 0.016 
59168.203 18.463 0.016 
59169.241 18.482 0.019 
59170.201 18.502 0.019 
59170.202 18.495 0.017 
59173.248 18.723 0.021 
59174.214 18.748 0.025 
59178.138 19.252 0.058 
59178.139 19.102 0.056 
59179.168 19.158 0.059 
59180.178 19.167 0.128 
59180.179 19.859 0.222 
59181.155 19.545 0.162 
59182.149 19.790 0.142 
59184.177 19.962 0.151 
59184.178 19.589 0.101 
59185.093 20.056 0.103 
59186.137 20.366 0.192 
59186.138 20.135 0.166 
59187.111 20.293 0.103 
59188.173 20.672 0.177 
59188.182 20.431 0.143 
59189.141 20.479 0.132 
59193.178 20.779 0.178 
59193.179 20.865 0.179 
59194.172 20.759 0.176 
59195.156 20.927 0.182 
59195.156 20.913 0.179 
59205.112 21.358 0.258 
59205.113 21.081 0.213 
59210.144 20.146 0.254 
filter ztfr
59157.245 20.101 0.107 
59157.246 19.959 0.090 
59158.132 19.897 0.092 
59165.223 18.425 0.017 
59166.396 18.352 0.037 
59167.215 18.392 0.017 
59168.139 18.344 0.017 
59168.140 18.285 0.017 
59169.200 18.289 0.018 
59170.139 18.301 0.017 
59170.140 18.247 0.016 
59172.161 18.284 0.016 
59172.162 18.338 0.015 
59173.225 18.410 0.019 
59174.117 18.380 0.018 
59174.118 18.354 0.019 
59179.113 18.741 0.031 
59180.120 18.994 0.095 
59180.121 18.875 0.085 
59181.113 18.942 0.069 
59182.114 18.858 0.058 
59184.265 18.903 0.057 
59184.268 18.866 0.055 
59185.154 19.015 0.042 
59187.163 19.029 0.049 
59188.248 19.173 0.079 
59188.256 19.133 0.073 
59189.175 19.081 0.049 
59190.157 19.091 0.040 
59190.158 19.070 0.032 
59192.139 19.358 0.103 
59193.250 19.343 0.051 
59193.250 19.454 0.053 
59194.150 19.555 0.064 
59195.116 19.688 0.113 
59195.118 19.757 0.123 
59198.119 19.765 0.074 
59199.131 20.094 0.138 
59199.136 19.905 0.137 
59200.116 20.021 0.160 
59202.135 20.247 0.118 
59202.141 20.272 0.140 
59203.178 20.228 0.194 
59204.130 20.293 0.137 
59204.131 20.105 0.129 
59205.144 20.340 0.124 
59205.145 20.162 0.096 
59211.153 20.729 0.249 
59211.154 20.264 0.166 
59215.117 20.479 0.257 
59216.116 20.282 0.124 
59216.122 20.340 0.140 
59218.142 20.696 0.197 
59219.145 20.521 0.135 
59219.146 20.783 0.145 
59230.121 20.692 0.178 
59232.133 20.916 0.164 
59233.117 20.763 0.162 
