ZTF20acpylns 0.07634463 145.344111 15.961244
filter ztfg
59165.524 19.058 0.028 
59168.519 18.784 0.024 
59170.477 18.800 0.023 
59173.500 19.013 0.037 
59181.524 19.472 0.073 
59185.487 19.804 0.135 
59187.521 19.801 0.177 
59194.442 20.835 0.186 
59199.529 20.505 0.129 
filter ztfr
59165.495 19.175 0.070 
59166.548 19.170 0.065 
59166.549 19.039 0.054 
59168.444 18.918 0.090 
59170.528 18.940 0.063 
59173.510 18.894 0.078 
59180.434 18.840 0.121 
59181.368 18.986 0.181 
59181.484 19.302 0.118 
59182.395 19.400 0.123 
59182.396 19.379 0.119 
59185.472 19.773 0.186 
59192.373 19.945 0.286 
59193.414 19.839 0.139 
59194.351 20.019 0.147 
59194.351 19.913 0.135 
59194.478 19.675 0.125 
59196.484 19.949 0.242 
59199.407 20.500 0.310 
59204.413 20.502 0.172 
59204.414 20.825 0.224 
59204.422 20.089 0.152 
59228.465 20.663 0.260 
