ZTF20actpuan 0.07208681 41.215618 46.165535
filter ztfg
59180.188 19.237 0.145 
59182.223 18.747 0.080 
59184.217 18.604 0.070 
59188.202 18.357 0.032 
59193.202 18.324 0.034 
59195.238 18.411 0.051 
59198.159 18.440 0.035 
59200.181 18.506 0.096 
59202.221 18.685 0.036 
59204.305 18.865 0.045 
59210.221 19.214 0.121 
59216.165 20.133 0.150 
59218.222 20.260 0.145 
59224.196 20.594 0.229 
filter ztfr
59182.366 18.779 0.122 
59184.285 18.756 0.082 
59188.265 18.398 0.069 
59190.171 18.391 0.175 
59193.225 18.380 0.121 
59198.129 18.364 0.089 
59202.279 18.563 0.047 
59204.172 18.652 0.115 
59210.301 18.917 0.214 
59218.186 19.198 0.116 
59224.225 19.405 0.103 
59226.158 19.367 0.127 
59250.176 20.269 0.307 
59263.176 19.760 0.218 
