ZTF20acurrzb 0.081 126.248253 -4.877417
filter ztfg
59181.521 20.022 0.179 
59185.442 19.259 0.107 
59187.506 18.927 0.109 
59193.454 18.524 0.023 
59194.401 18.617 0.032 
59194.439 18.564 0.027 
59196.415 18.505 0.039 
59196.458 18.516 0.035 
59199.454 18.607 0.030 
59201.410 18.750 0.031 
59203.417 18.751 0.033 
59216.438 19.766 0.165 
59216.524 19.803 0.299 
59218.320 20.345 0.206 
59218.357 20.164 0.154 
59218.358 20.179 0.147 
59219.413 20.334 0.213 
59221.339 20.375 0.102 
59221.380 20.520 0.135 
59222.375 20.303 0.096 
59222.379 20.744 0.134 
59223.338 20.559 0.166 
59224.349 20.746 0.175 
59225.234 20.586 0.221 
59228.359 20.911 0.170 
59228.381 20.800 0.141 
59230.336 20.792 0.189 
59230.337 20.875 0.171 
59231.270 21.039 0.310 
59232.358 21.053 0.156 
59248.291 20.829 0.160 
59260.303 20.654 0.197 
filter ztfr
59182.384 20.035 0.201 
59185.395 19.247 0.129 
59187.441 18.866 0.128 
59193.375 18.527 0.034 
59193.375 18.467 0.024 
59194.348 18.456 0.039 
59194.348 18.505 0.039 
59194.396 18.545 0.044 
59194.461 18.564 0.040 
59194.486 18.621 0.051 
59196.478 18.589 0.069 
59196.480 18.498 0.065 
59199.375 18.488 0.047 
59199.402 18.651 0.058 
59203.458 18.639 0.055 
59210.328 18.850 0.082 
59210.329 18.984 0.094 
59210.398 19.045 0.093 
59215.464 18.754 0.263 
59216.301 19.175 0.117 
59217.371 19.302 0.119 
59217.379 19.552 0.148 
59218.381 19.414 0.082 
59218.401 19.346 0.070 
59218.421 19.324 0.077 
59219.330 19.277 0.118 
59219.365 19.121 0.089 
59221.398 19.375 0.081 
59222.320 19.270 0.065 
59222.337 19.388 0.064 
59222.449 19.518 0.094 
59223.439 19.263 0.085 
59224.277 19.573 0.094 
59224.375 19.438 0.107 
59224.396 19.340 0.116 
59225.296 19.451 0.085 
59225.307 19.464 0.087 
59225.307 19.411 0.086 
59225.397 19.558 0.152 
59226.274 19.258 0.118 
59226.411 19.473 0.120 
59226.412 19.530 0.105 
59227.311 19.734 0.086 
59227.332 19.689 0.087 
59227.332 19.488 0.072 
59227.361 19.679 0.072 
59228.344 19.516 0.061 
59228.345 19.571 0.061 
59228.445 19.715 0.094 
59229.291 19.882 0.211 
59230.251 19.821 0.136 
59230.371 19.645 0.090 
59230.372 19.673 0.091 
59230.429 19.686 0.123 
59230.431 19.672 0.102 
59231.351 19.896 0.120 
59231.355 19.899 0.160 
59232.330 20.169 0.102 
59232.353 19.702 0.068 
59232.404 20.051 0.106 
59233.235 20.314 0.170 
59248.235 20.351 0.229 
59248.383 20.574 0.213 
59248.384 20.647 0.226 
59250.410 20.326 0.265 
59251.318 20.407 0.152 
59252.372 20.234 0.119 
59254.271 21.001 0.180 
59260.255 20.430 0.261 
59265.274 21.168 0.310 
filter ztfi
59199.462 19.116 0.161 
59202.477 19.095 0.133 
59229.366 19.315 0.191 
