ZTF20acwnrty 0.07142361 146.100041 22.979099
filter ztfg
59193.422 19.724 0.057 
59198.395 18.464 0.019 
59198.414 18.484 0.016 
59200.423 18.211 0.024 
59203.410 18.013 0.014 
59205.383 18.000 0.009 
59218.370 18.489 0.032 
59220.365 18.564 0.038 
59224.445 19.029 0.044 
59226.449 19.179 0.038 
59228.374 19.218 0.029 
59230.471 19.426 0.036 
59232.426 19.634 0.038 
59249.430 20.608 0.221 
59250.279 20.580 0.155 
59250.413 14.339 0.225 
59250.442 20.532 0.152 
59251.287 21.051 0.162 
59251.405 20.548 0.106 
59251.406 20.642 0.116 
59252.262 20.525 0.091 
59252.387 20.865 0.113 
59253.256 20.994 0.143 
59253.393 20.907 0.133 
59253.394 20.804 0.121 
59254.224 21.058 0.147 
59254.311 20.918 0.119 
59255.370 20.927 0.117 
59255.382 21.144 0.145 
59256.324 20.709 0.095 
59256.361 20.882 0.130 
59257.320 20.584 0.128 
59262.333 21.140 0.172 
59263.291 20.994 0.276 
59263.375 20.651 0.201 
59264.319 20.650 0.113 
59264.343 21.242 0.169 
59265.193 20.957 0.230 
59265.394 20.734 0.105 
59266.134 20.317 0.273 
59266.405 20.601 0.238 
filter ztfr
59193.396 19.766 0.052 
59193.503 19.815 0.069 
59194.352 19.550 0.069 
59194.352 19.610 0.065 
59195.499 19.177 0.038 
59198.443 18.647 0.022 
59200.508 18.384 0.033 
59203.479 18.216 0.018 
59210.427 18.115 0.021 
59218.416 18.382 0.026 
59222.352 18.608 0.026 
59224.369 18.823 0.036 
59226.423 18.778 0.031 
59228.467 18.842 0.022 
59230.432 18.906 0.029 
59232.337 18.841 0.022 
59232.455 18.997 0.023 
59232.455 18.959 0.021 
59232.456 18.953 0.020 
59248.366 19.613 0.054 
59248.435 19.369 0.048 
59249.400 19.702 0.105 
59250.236 19.756 0.085 
59250.395 19.725 0.079 
59251.311 19.794 0.054 
59251.328 19.657 0.061 
59251.447 19.691 0.053 
59252.226 19.788 0.053 
59252.300 19.717 0.047 
59253.341 19.772 0.048 
59253.342 19.824 0.049 
59254.259 19.836 0.048 
59256.229 19.837 0.052 
59256.406 19.883 0.054 
59257.257 19.884 0.087 
59257.268 19.935 0.061 
59257.406 20.265 0.153 
59260.258 20.019 0.092 
59260.384 19.920 0.096 
59262.208 20.109 0.120 
59262.246 20.131 0.116 
59262.247 19.797 0.096 
59263.387 20.095 0.166 
59264.184 20.100 0.120 
59264.213 20.063 0.087 
59264.308 20.195 0.086 
59265.236 20.148 0.088 
59265.296 19.996 0.075 
59266.256 19.805 0.119 
59266.373 20.089 0.142 
59268.299 20.129 0.124 
59272.258 19.846 0.288 
filter ztfi
59199.479 18.700 0.063 
59202.443 18.702 0.053 
59218.509 19.267 0.091 
59221.278 19.332 0.125 
59227.400 19.494 0.107 
59230.382 19.612 0.100 
59233.379 19.743 0.146 
59251.354 19.920 0.139 
59254.352 20.001 0.119 
59267.339 20.311 0.204 
