ZTF20acxlaih 0.038822 332.319983 4.717332
filter ztfg
59199.151 18.312 0.070 
59199.152 18.383 0.068 
59200.151 17.976 0.053 
59202.152 17.884 0.047 
59203.155 17.746 0.042 
59204.097 17.730 0.036 
59205.123 17.668 0.026 
59216.146 17.925 0.047 
filter ztfr
59199.112 18.246 0.026 
59199.124 18.206 0.032 
59200.096 18.025 0.021 
59202.113 17.826 0.019 
59202.114 17.692 0.016 
59203.110 17.706 0.019 
59204.153 17.586 0.026 
59204.154 17.606 0.030 
59205.133 17.540 0.014 
59211.139 17.505 0.023 
59211.142 17.467 0.022 
59219.091 17.840 0.017 
59219.093 17.945 0.019 
59219.096 17.952 0.016 
59219.098 17.861 0.015 
59219.101 17.893 0.017 
59220.079 17.932 0.023 
59220.082 17.886 0.021 
59220.084 17.992 0.020 
59220.087 17.958 0.019 
59220.089 17.969 0.019 
59223.081 18.194 0.047 
59223.084 18.054 0.038 
59223.086 18.118 0.033 
59223.089 18.045 0.027 
59223.091 18.154 0.030 
59224.082 17.990 0.040 
59224.084 18.167 0.039 
59224.087 18.101 0.031 
59224.089 18.108 0.028 
59224.092 18.140 0.026 
59225.094 18.094 0.025 
59225.097 18.071 0.026 
59225.099 18.051 0.026 
59225.101 18.084 0.028 
59225.104 18.128 0.029 
59226.084 18.241 0.055 
59226.086 18.151 0.039 
59226.088 18.153 0.036 
59226.091 18.156 0.037 
59226.093 18.177 0.043 
59227.084 18.192 0.038 
59227.087 18.078 0.033 
59227.089 18.249 0.043 
59227.091 18.268 0.046 
59227.094 18.143 0.035 
59229.097 18.206 0.060 
59229.099 18.290 0.051 
59229.102 18.194 0.048 
59230.085 18.204 0.063 
59230.088 18.434 0.070 
59230.090 18.285 0.059 
59230.093 18.173 0.051 
59230.095 18.291 0.048 
59231.086 18.341 0.072 
59231.088 18.348 0.055 
59231.090 18.254 0.042 
59231.093 18.273 0.042 
