ZTF20acxpvhu 0.0860106 83.411184 -9.033029
filter ztfg
59200.371 19.533 0.197 
59203.328 18.930 0.059 
59205.274 18.762 0.076 
59211.226 18.974 0.160 
59216.257 18.581 0.068 
59218.347 18.797 0.063 
59220.255 18.812 0.047 
59222.274 18.898 0.070 
59224.205 19.054 0.093 
59226.353 19.383 0.210 
59228.308 19.597 0.167 
59230.296 19.804 0.154 
59232.371 19.678 0.217 
59250.191 20.544 0.245 
filter ztfr
59203.234 19.079 0.099 
59205.207 18.826 0.121 
59216.305 18.411 0.081 
59218.275 18.499 0.109 
59220.276 18.634 0.043 
59221.384 18.632 0.056 
59221.385 18.626 0.068 
59221.385 18.616 0.057 
59221.386 18.654 0.098 
59221.386 18.539 0.079 
59222.256 18.614 0.088 
59224.235 18.820 0.124 
59226.256 18.891 0.050 
59228.231 19.007 0.077 
59230.250 19.036 0.099 
59250.211 19.627 0.174 
59265.250 20.455 0.294 
59267.150 20.369 0.285 
