ZTF21aaabxln 0.07614629 211.863701 13.067668
filter ztfg
59217.540 18.153 0.041 
59219.445 18.144 0.050 
59219.446 18.159 0.046 
59221.500 18.040 0.022 
59223.526 18.148 0.016 
59223.545 18.160 0.021 
59224.535 18.130 0.014 
59225.469 18.216 0.026 
59226.527 18.231 0.017 
59228.504 18.293 0.015 
59229.547 18.407 0.028 
59229.548 18.414 0.024 
59231.444 18.546 0.020 
59231.547 18.534 0.020 
59249.444 19.805 0.173 
59249.444 20.234 0.224 
59251.423 20.070 0.087 
59251.424 20.188 0.109 
59253.524 20.392 0.096 
59253.525 20.278 0.073 
59264.412 20.646 0.118 
59264.482 20.877 0.134 
59266.484 20.795 0.202 
59266.486 20.466 0.167 
59268.482 21.114 0.219 
59268.484 21.339 0.267 
59290.422 21.266 0.169 
filter ztfr
59215.538 18.490 0.053 
59215.548 18.484 0.057 
59217.477 18.283 0.032 
59217.484 18.235 0.030 
59219.482 18.272 0.036 
59219.488 18.311 0.033 
59221.451 18.311 0.064 
59223.484 18.333 0.031 
59223.520 18.288 0.026 
59224.504 18.359 0.028 
59226.504 18.280 0.022 
59227.518 18.401 0.029 
59227.544 18.445 0.031 
59228.485 18.444 0.024 
59229.525 18.481 0.038 
59229.526 18.525 0.039 
59229.527 18.606 0.044 
59231.498 18.563 0.021 
59231.526 18.614 0.031 
59233.491 18.803 0.031 
59249.483 19.299 0.084 
59249.484 19.274 0.067 
59251.476 19.134 0.043 
59251.481 19.372 0.058 
59253.500 19.222 0.038 
59255.422 19.379 0.041 
59255.425 19.369 0.038 
59258.484 19.641 0.139 
59262.500 19.615 0.061 
59264.505 19.846 0.061 
59264.513 19.850 0.074 
59266.363 19.754 0.166 
59266.382 19.820 0.116 
59270.372 20.224 0.217 
59270.500 19.929 0.148 
59280.421 20.106 0.132 
59280.422 20.533 0.188 
59280.423 20.259 0.133 
59280.424 20.252 0.151 
59290.377 20.686 0.146 
59290.394 20.609 0.112 
59291.375 20.454 0.103 
59291.377 21.008 0.187 
59292.394 20.599 0.127 
59295.400 21.035 0.243 
59295.402 20.910 0.211 
59295.402 20.668 0.166 
59296.377 20.187 0.195 
59297.379 20.765 0.270 
59297.399 20.843 0.274 
59297.400 20.821 0.275 
filter ztfi
59217.515 18.820 0.065 
59217.515 18.868 0.069 
59224.461 19.412 0.175 
59226.470 18.947 0.089 
59227.526 19.140 0.089 
59229.499 19.304 0.139 
59231.520 19.544 0.088 
59232.464 19.465 0.078 
59249.465 19.523 0.166 
59250.506 19.593 0.083 
59252.417 19.708 0.086 
59253.466 19.598 0.089 
59255.505 19.766 0.099 
59256.474 19.633 0.082 
59262.395 19.936 0.194 
59264.394 20.077 0.115 
59265.339 19.985 0.208 
59267.347 20.013 0.229 
59268.393 20.323 0.189 
59270.479 20.341 0.277 
